Model loading: UNet with GroupNorm
Converting BatchNorm to GroupNorm for fair comparison with DP models
Model already GroupNorm-compatible
Not loading weights from weights file
###################################################################### 
Start Training (UNet-GroupNorm)
Network: UNet
Batch Size: 64
DP: Disabled
Morphology: Disabled
Architecture: GroupNorm (no DP)
Save Path: ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2
Run: 2
Namespace(network='UNet', epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, init_features=32, n_classes=1, in_channels=3, backbone='Res2Net50', deep_supervision=False, train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=False, epsilon=8.0, max_grad_norm=1.2, delta=1e-05, clipping_strategy='base', enable_morphology=False, morph_operation='both', morph_kernel_size=3, device='cuda')
 ######################################################################
2025-11-09 00:58:09.448858 Epoch [001/100], Step [0001/0001], Loss: 1.4925, ε: 0.0000
2025-11-09 00:58:10.202743 Epoch [002/100], Step [0001/0001], Loss: 1.4672, ε: 0.0000
2025-11-09 00:58:11.193013 Epoch [003/100], Step [0001/0001], Loss: 1.4463, ε: 0.0000
2025-11-09 00:58:12.194316 Epoch [004/100], Step [0001/0001], Loss: 1.4290, ε: 0.0000
2025-11-09 00:58:13.188510 Epoch [005/100], Step [0001/0001], Loss: 1.4141, ε: 0.0000
2025-11-09 00:58:14.191336 Epoch [006/100], Step [0001/0001], Loss: 1.4004, ε: 0.0000
2025-11-09 00:58:15.157051 Epoch [007/100], Step [0001/0001], Loss: 1.3876, ε: 0.0000
2025-11-09 00:58:16.164061 Epoch [008/100], Step [0001/0001], Loss: 1.3755, ε: 0.0000
2025-11-09 00:58:17.153794 Epoch [009/100], Step [0001/0001], Loss: 1.3643, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-10.pth
2025-11-09 00:58:18.239606 Epoch [010/100], Step [0001/0001], Loss: 1.3537, ε: 0.0000
2025-11-09 00:58:19.243440 Epoch [011/100], Step [0001/0001], Loss: 1.3439, ε: 0.0000
2025-11-09 00:58:20.220981 Epoch [012/100], Step [0001/0001], Loss: 1.3348, ε: 0.0000
2025-11-09 00:58:21.210021 Epoch [013/100], Step [0001/0001], Loss: 1.3263, ε: 0.0000
2025-11-09 00:58:22.192646 Epoch [014/100], Step [0001/0001], Loss: 1.3182, ε: 0.0000
2025-11-09 00:58:23.200388 Epoch [015/100], Step [0001/0001], Loss: 1.3104, ε: 0.0000
2025-11-09 00:58:24.192728 Epoch [016/100], Step [0001/0001], Loss: 1.3028, ε: 0.0000
2025-11-09 00:58:25.177753 Epoch [017/100], Step [0001/0001], Loss: 1.2953, ε: 0.0000
2025-11-09 00:58:26.213454 Epoch [018/100], Step [0001/0001], Loss: 1.2880, ε: 0.0000
2025-11-09 00:58:27.208855 Epoch [019/100], Step [0001/0001], Loss: 1.2804, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-20.pth
2025-11-09 00:58:28.273446 Epoch [020/100], Step [0001/0001], Loss: 1.2749, ε: 0.0000
2025-11-09 00:58:29.285904 Epoch [021/100], Step [0001/0001], Loss: 1.2682, ε: 0.0000
2025-11-09 00:58:30.268043 Epoch [022/100], Step [0001/0001], Loss: 1.2607, ε: 0.0000
2025-11-09 00:58:31.243603 Epoch [023/100], Step [0001/0001], Loss: 1.2530, ε: 0.0000
2025-11-09 00:58:32.192020 Epoch [024/100], Step [0001/0001], Loss: 1.2483, ε: 0.0000
2025-11-09 00:58:33.195710 Epoch [025/100], Step [0001/0001], Loss: 1.2384, ε: 0.0000
2025-11-09 00:58:34.187678 Epoch [026/100], Step [0001/0001], Loss: 1.2333, ε: 0.0000
2025-11-09 00:58:35.206544 Epoch [027/100], Step [0001/0001], Loss: 1.2237, ε: 0.0000
2025-11-09 00:58:36.186114 Epoch [028/100], Step [0001/0001], Loss: 1.2195, ε: 0.0000
2025-11-09 00:58:37.177299 Epoch [029/100], Step [0001/0001], Loss: 1.2100, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-30.pth
2025-11-09 00:58:38.304391 Epoch [030/100], Step [0001/0001], Loss: 1.2065, ε: 0.0000
2025-11-09 00:58:39.284173 Epoch [031/100], Step [0001/0001], Loss: 1.2094, ε: 0.0000
2025-11-09 00:58:40.304516 Epoch [032/100], Step [0001/0001], Loss: 1.1944, ε: 0.0000
2025-11-09 00:58:41.310460 Epoch [033/100], Step [0001/0001], Loss: 1.2029, ε: 0.0000
2025-11-09 00:58:42.303874 Epoch [034/100], Step [0001/0001], Loss: 1.1860, ε: 0.0000
2025-11-09 00:58:43.301988 Epoch [035/100], Step [0001/0001], Loss: 1.1912, ε: 0.0000
2025-11-09 00:58:44.293567 Epoch [036/100], Step [0001/0001], Loss: 1.1791, ε: 0.0000
2025-11-09 00:58:45.297351 Epoch [037/100], Step [0001/0001], Loss: 1.1724, ε: 0.0000
2025-11-09 00:58:46.343946 Epoch [038/100], Step [0001/0001], Loss: 1.1701, ε: 0.0000
2025-11-09 00:58:47.329317 Epoch [039/100], Step [0001/0001], Loss: 1.1624, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-40.pth
2025-11-09 00:58:48.413232 Epoch [040/100], Step [0001/0001], Loss: 1.1593, ε: 0.0000
2025-11-09 00:58:49.391292 Epoch [041/100], Step [0001/0001], Loss: 1.1514, ε: 0.0000
2025-11-09 00:58:50.376436 Epoch [042/100], Step [0001/0001], Loss: 1.1469, ε: 0.0000
2025-11-09 00:58:51.368887 Epoch [043/100], Step [0001/0001], Loss: 1.1423, ε: 0.0000
2025-11-09 00:58:52.362087 Epoch [044/100], Step [0001/0001], Loss: 1.1349, ε: 0.0000
2025-11-09 00:58:53.349295 Epoch [045/100], Step [0001/0001], Loss: 1.1325, ε: 0.0000
2025-11-09 00:58:54.387530 Epoch [046/100], Step [0001/0001], Loss: 1.1246, ε: 0.0000
2025-11-09 00:58:55.406163 Epoch [047/100], Step [0001/0001], Loss: 1.1220, ε: 0.0000
2025-11-09 00:58:56.395032 Epoch [048/100], Step [0001/0001], Loss: 1.1206, ε: 0.0000
2025-11-09 00:58:57.411893 Epoch [049/100], Step [0001/0001], Loss: 1.1196, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-50.pth
2025-11-09 00:58:58.437279 Epoch [050/100], Step [0001/0001], Loss: 1.1158, ε: 0.0000
2025-11-09 00:58:59.424990 Epoch [051/100], Step [0001/0001], Loss: 1.1149, ε: 0.0000
2025-11-09 00:59:00.431494 Epoch [052/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:01.430011 Epoch [053/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:02.408020 Epoch [054/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:03.406232 Epoch [055/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:04.404023 Epoch [056/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:05.411148 Epoch [057/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:06.403997 Epoch [058/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:07.419965 Epoch [059/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-60.pth
2025-11-09 00:59:08.542773 Epoch [060/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:09.535789 Epoch [061/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:10.512727 Epoch [062/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:11.509534 Epoch [063/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:12.525041 Epoch [064/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:13.548530 Epoch [065/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:14.541013 Epoch [066/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:15.515343 Epoch [067/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:16.486002 Epoch [068/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:17.459306 Epoch [069/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-70.pth
2025-11-09 00:59:18.560499 Epoch [070/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:19.528263 Epoch [071/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:20.679599 Epoch [072/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:21.689281 Epoch [073/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:22.694101 Epoch [074/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:23.692613 Epoch [075/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:24.654272 Epoch [076/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:25.676819 Epoch [077/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:26.682423 Epoch [078/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:27.713707 Epoch [079/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-80.pth
2025-11-09 00:59:28.741906 Epoch [080/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:29.727837 Epoch [081/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:30.708217 Epoch [082/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:31.706753 Epoch [083/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:32.732035 Epoch [084/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:33.727055 Epoch [085/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:34.735317 Epoch [086/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:35.722814 Epoch [087/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:36.690570 Epoch [088/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:37.718898 Epoch [089/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
[Saving Snapshot:] ./Snapshots/save_weights/UNet_GroupNorm/batch_64/run_2/UNet-90.pth
2025-11-09 00:59:38.806774 Epoch [090/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:39.775947 Epoch [091/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:40.807961 Epoch [092/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:41.798772 Epoch [093/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:42.768009 Epoch [094/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:43.751142 Epoch [095/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:44.747460 Epoch [096/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:45.752712 Epoch [097/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:46.735301 Epoch [098/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
2025-11-09 00:59:47.715992 Epoch [099/100], Step [0001/0001], Loss: 1.1145, ε: 0.0000
