model,batch_size,run,dp_enabled,noise_multiplier,epsilon,morph_enabled,morph_operation,mean_dice,max_dice,s_measure,mae,mean_sensitivity,max_sensitivity,mean_specificity,max_specificity,mean_e_measure,max_e_measure,job_id
Inf-Net_DP,64,3,True,0.5,535.81,False,,0.4366,0.5416,0.5903,0.2313,0.6385,1.0,0.7977,0.9974,0.5961,0.8134,59954706
Inf-Net_DP,64,1,True,0.7,297.99,False,,0.3912,0.519,0.5556,0.2871,0.654,1.0,0.7276,0.993,0.5265,0.7871,59954707
Inf-Net_DP,64,2,True,0.7,297.99,False,,0.4268,0.5411,0.5733,0.2559,0.6735,1.0,0.7637,0.9982,0.5687,0.811,59954708
Inf-Net_DP,64,3,True,0.7,297.99,False,,0.3848,0.5009,0.55,0.2921,0.6453,1.0,0.7254,0.9992,0.5237,0.7894,59954709
Inf-Net_DP,72,1,True,0.3,inf,False,,0.4711,0.5727,0.6173,0.1972,0.6408,1.0,0.8434,0.9997,0.6329,0.8123,59954710
Inf-Net_DP,72,2,True,0.3,inf,False,,0.4783,0.5858,0.6196,0.1971,0.6486,1.0,0.8401,1.0,0.6365,0.8256,59954711
Inf-Net_DP,72,3,True,0.3,inf,False,,0.4782,0.5821,0.6213,0.196,0.6418,1.0,0.8415,0.997,0.638,0.8159,59954712
Inf-Net_DP,72,1,True,0.5,535.81,False,,0.4557,0.5519,0.5928,0.2254,0.6555,1.0,0.8048,0.9936,0.6114,0.7995,59954713
Inf-Net_DP,72,2,True,0.5,535.81,False,,0.4322,0.5426,0.584,0.2425,0.6489,1.0,0.787,0.9971,0.5793,0.7939,59954714
Inf-Net_DP,72,3,True,0.5,535.81,False,,0.4304,0.5508,0.5811,0.2561,0.6646,1.0,0.7635,0.9961,0.5747,0.8242,59954715
Inf-Net_DP,72,1,True,0.7,297.99,False,,0.4056,0.5077,0.553,0.2798,0.6615,1.0,0.737,0.9925,0.5479,0.7833,59954716
Inf-Net_DP,72,2,True,0.7,297.99,False,,0.4064,0.5212,0.5633,0.263,0.6374,1.0,0.7627,0.9994,0.551,0.7943,59954717
Inf-Net_DP,72,3,True,0.7,297.99,False,,0.4212,0.5431,0.5734,0.2602,0.6743,1.0,0.7561,0.9948,0.5634,0.8105,59954718
Inf-Net_DP_Morph,24,1,True,0.3,inf,True,both,0.4769,0.5796,0.6153,0.2035,0.6617,1.0,0.8297,0.9971,0.6344,0.8223,59954725
Inf-Net_DP_Morph,24,2,True,0.3,inf,True,both,0.4395,0.5542,0.6066,0.2146,0.6314,1.0,0.8191,0.999,0.5995,0.8099,59954726
Inf-Net_DP_Morph,24,3,True,0.3,inf,True,both,0.4844,0.5869,0.6303,0.1866,0.6452,1.0,0.8468,0.9891,0.6476,0.8386,59954727
Inf-Net_DP_Morph,24,1,True,0.3,inf,True,close,0.4592,0.5625,0.6035,0.2158,0.6399,1.0,0.8132,0.9782,0.6176,0.8054,59954722
Inf-Net_DP_Morph,24,2,True,0.3,inf,True,close,0.4738,0.5781,0.6154,0.2037,0.6539,1.0,0.8268,0.9876,0.6306,0.816,59954723
Inf-Net_DP_Morph,24,3,True,0.3,inf,True,close,0.4591,0.5725,0.6154,0.2021,0.6444,1.0,0.8264,0.9936,0.6187,0.8212,59954724
Inf-Net_DP_Morph,24,1,True,0.3,inf,True,dilation,0.4852,0.59,0.6307,0.1799,0.6289,1.0,0.8618,0.9991,0.6518,0.8343,59954728
Inf-Net_DP_Morph,24,2,True,0.3,inf,True,dilation,0.4906,0.5979,0.6362,0.1817,0.6321,1.0,0.8592,0.9982,0.6568,0.8282,59954729
Inf-Net_DP_Morph,24,3,True,0.3,inf,True,dilation,0.4775,0.5929,0.63,0.1876,0.6242,1.0,0.8544,0.999,0.6401,0.8342,59954730
Inf-Net_DP_Morph,24,1,True,0.3,inf,True,erosion,0.5,0.6031,0.6258,0.1938,0.6777,1.0,0.8363,0.9978,0.6543,0.832,59954731
Inf-Net_DP_Morph,24,2,True,0.3,inf,True,erosion,0.493,0.5891,0.6203,0.1997,0.683,1.0,0.8304,0.9993,0.6472,0.828,59954732
Inf-Net_DP_Morph,24,3,True,0.3,inf,True,erosion,0.4906,0.5993,0.624,0.1969,0.6643,1.0,0.836,0.9987,0.6452,0.8413,59954733
