model,batch_size,run,dp_enabled,noise_multiplier,epsilon,morph_enabled,morph_operation,mean_dice,max_dice,s_measure,mae,mean_sensitivity,max_sensitivity,mean_specificity,max_specificity,mean_e_measure,max_e_measure,job_id
Inf-Net_DP_Morph,64,3,True,0.3,inf,True,open,0.4964,0.607,0.6342,0.1856,0.6561,1.0,0.852,0.9989,0.653,0.8343,59954811
Inf-Net_DP_Morph,64,1,True,0.5,535.81,True,both,0.4301,0.5533,0.5872,0.2408,0.6402,1.0,0.7797,0.9699,0.5797,0.7976,59954830
Inf-Net_DP_Morph,64,2,True,0.5,535.81,True,both,0.456,0.5559,0.6006,0.2242,0.6569,1.0,0.8052,0.9949,0.6084,0.8002,59954831
Inf-Net_DP_Morph,64,3,True,0.5,535.81,True,both,0.4665,0.5588,0.6073,0.212,0.6615,1.0,0.8197,0.9962,0.6229,0.8014,59954832
Inf-Net_DP_Morph,64,1,True,0.5,535.81,True,close,0.4577,0.5728,0.6031,0.2263,0.6617,1.0,0.8008,0.9971,0.6055,0.8178,59954827
Inf-Net_DP_Morph,64,2,True,0.5,535.81,True,close,0.444,0.5506,0.5938,0.2274,0.6441,1.0,0.8041,0.9962,0.5996,0.8022,59954828
Inf-Net_DP_Morph,64,3,True,0.5,535.81,True,close,0.4595,0.5768,0.6044,0.2229,0.6654,1.0,0.8058,0.9984,0.6064,0.8166,59954829
Inf-Net_DP_Morph,64,1,True,0.5,535.81,True,dilation,0.4204,0.5408,0.5844,0.2452,0.6445,1.0,0.776,0.9941,0.5711,0.799,59954833
Inf-Net_DP_Morph,64,2,True,0.5,535.81,True,dilation,0.4619,0.5739,0.6132,0.2105,0.6433,1.0,0.8252,0.9978,0.6163,0.8094,59954834
Inf-Net_DP_Morph,64,3,True,0.5,535.81,True,dilation,0.4344,0.5424,0.591,0.2223,0.6116,1.0,0.8106,0.9905,0.5967,0.7913,59954835
Inf-Net_DP_Morph,64,1,True,0.5,535.81,True,erosion,0.4585,0.5655,0.5927,0.2375,0.6932,1.0,0.7854,0.9987,0.5973,0.8074,59954836
Inf-Net_DP_Morph,64,2,True,0.5,535.81,True,erosion,0.4205,0.5384,0.5664,0.2705,0.6861,1.0,0.7455,0.9992,0.5538,0.8047,59954837
Inf-Net_DP_Morph,64,3,True,0.5,535.81,True,erosion,0.4289,0.55,0.5676,0.2731,0.7003,1.0,0.7381,0.996,0.5586,0.8125,59954838
Inf-Net_DP_Morph,64,1,True,0.5,535.81,True,open,0.4403,0.5459,0.5898,0.2298,0.6475,1.0,0.8001,0.9955,0.5959,0.8007,59954824
Inf-Net_DP_Morph,64,2,True,0.5,535.81,True,open,0.4141,0.5315,0.5712,0.2586,0.639,1.0,0.7679,0.999,0.5585,0.7978,59954825
Inf-Net_DP_Morph,64,3,True,0.5,535.81,True,open,0.4259,0.5338,0.5779,0.2503,0.6607,1.0,0.7735,0.9986,0.5719,0.7953,59954826
Inf-Net_DP_Morph,64,1,True,0.7,297.99,True,both,0.4322,0.5329,0.5705,0.2619,0.6848,1.0,0.7553,0.9874,0.5723,0.7762,59954845
Inf-Net_DP_Morph,64,2,True,0.7,297.99,True,both,0.3989,0.5223,0.5517,0.2955,0.6771,1.0,0.7151,0.9953,0.5271,0.7947,59954846
Inf-Net_DP_Morph,64,3,True,0.7,297.99,True,both,0.3926,0.5144,0.5534,0.285,0.6436,1.0,0.7313,0.997,0.5327,0.7818,59954847
Inf-Net_DP_Morph,64,1,True,0.7,297.99,True,close,0.4275,0.5406,0.5737,0.2608,0.6623,1.0,0.7605,0.9972,0.568,0.7921,59954842
Inf-Net_DP_Morph,64,2,True,0.7,297.99,True,close,0.4178,0.5354,0.5693,0.2721,0.6773,1.0,0.7449,0.9984,0.5512,0.7916,59954843
Inf-Net_DP_Morph,64,3,True,0.7,297.99,True,close,0.371,0.4838,0.5293,0.319,0.6528,1.0,0.6884,0.9898,0.4971,0.7521,59954844
Inf-Net_DP_Morph,64,1,True,0.7,297.99,True,dilation,0.358,0.4822,0.5457,0.2895,0.6181,1.0,0.7257,0.9947,0.5078,0.7738,59954848
Inf-Net_DP_Morph,64,2,True,0.7,297.99,True,dilation,0.4218,0.5389,0.5832,0.2468,0.629,1.0,0.7815,0.9971,0.5711,0.7859,59954849
Inf-Net_DP_Morph,64,3,True,0.7,297.99,True,dilation,0.4424,0.5483,0.581,0.2479,0.6677,1.0,0.7751,0.9907,0.5872,0.7936,59954850
Inf-Net_DP_Morph,64,1,True,0.7,297.99,True,erosion,0.4041,0.5081,0.5555,0.2843,0.6834,1.0,0.728,0.9962,0.5406,0.7757,59954851
Inf-Net_DP_Morph,64,2,True,0.7,297.99,True,erosion,0.4181,0.5253,0.5567,0.2851,0.706,1.0,0.7224,0.9939,0.5451,0.7922,59954852
Inf-Net_DP_Morph,64,3,True,0.7,297.99,True,erosion,0.397,0.4946,0.5525,0.276,0.6421,1.0,0.7458,0.9978,0.5458,0.7869,59954853
Inf-Net_DP_Morph,64,1,True,0.7,297.99,True,open,0.4136,0.529,0.5561,0.286,0.6855,1.0,0.726,0.9951,0.5455,0.7913,59954839
Inf-Net_DP_Morph,64,2,True,0.7,297.99,True,open,0.429,0.5375,0.5777,0.2536,0.6699,1.0,0.7696,0.9992,0.572,0.7849,59954840
Inf-Net_DP_Morph,64,3,True,0.7,297.99,True,open,0.3906,0.5112,0.547,0.2916,0.6531,1.0,0.7226,0.9954,0.5262,0.78,59954841
Inf-Net_DP_Morph,72,1,True,0.3,inf,True,both,0.4865,0.5935,0.6311,0.1836,0.6274,1.0,0.8567,0.9992,0.653,0.828,59954860
Inf-Net_DP_Morph,72,2,True,0.3,inf,True,both,0.502,0.6023,0.636,0.1851,0.6615,1.0,0.854,0.9995,0.656,0.812,59954861
Inf-Net_DP_Morph,72,3,True,0.3,inf,True,both,0.4668,0.5752,0.6152,0.1976,0.6283,1.0,0.8372,0.9931,0.634,0.8304,59954862
Inf-Net_DP_Morph,72,1,True,0.3,inf,True,close,0.4781,0.5832,0.6196,0.1982,0.6522,1.0,0.835,0.9962,0.6371,0.8307,59954857
Inf-Net_DP_Morph,72,2,True,0.3,inf,True,close,0.4642,0.5765,0.615,0.2047,0.639,1.0,0.8285,0.9968,0.6222,0.8303,59954858
Inf-Net_DP_Morph,72,3,True,0.3,inf,True,close,0.4702,0.5731,0.6165,0.1981,0.6332,1.0,0.8351,0.9834,0.6327,0.8188,59954859
Inf-Net_DP_Morph,72,1,True,0.3,inf,True,dilation,0.4815,0.5868,0.631,0.1866,0.6415,1.0,0.8499,0.9928,0.6449,0.831,59954863
Inf-Net_DP_Morph,72,2,True,0.3,inf,True,dilation,0.4643,0.5718,0.6189,0.1935,0.6247,1.0,0.8449,0.9972,0.6303,0.8251,59954864
Inf-Net_DP_Morph,72,3,True,0.3,inf,True,dilation,0.4618,0.5727,0.6249,0.1892,0.6028,1.0,0.8561,0.9964,0.6316,0.8159,59954865
Inf-Net_DP_Morph,72,1,True,0.3,inf,True,erosion,0.4968,0.6042,0.6319,0.1899,0.6784,1.0,0.8419,0.9999,0.6481,0.8382,59954866
Inf-Net_DP_Morph,72,2,True,0.3,inf,True,erosion,0.48,0.5821,0.6114,0.2122,0.6755,1.0,0.8168,0.9989,0.6294,0.8242,59954867
Inf-Net_DP_Morph,72,3,True,0.3,inf,True,erosion,0.4841,0.5786,0.6167,0.1979,0.6627,1.0,0.8349,0.9967,0.6441,0.8199,59954868
Inf-Net_DP_Morph,72,1,True,0.3,inf,True,open,0.4678,0.5663,0.621,0.1912,0.6297,1.0,0.847,0.9974,0.6348,0.8182,59954854
Inf-Net_DP_Morph,72,2,True,0.3,inf,True,open,0.502,0.6079,0.6384,0.1828,0.6592,1.0,0.8557,0.9998,0.6569,0.8307,59954855
Inf-Net_DP_Morph,72,3,True,0.3,inf,True,open,0.4954,0.5909,0.6343,0.1791,0.6468,1.0,0.8624,0.9998,0.6576,0.8265,59954856
Inf-Net_DP_Morph,72,1,True,0.5,535.81,True,both,0.4516,0.5514,0.5988,0.219,0.6431,1.0,0.8124,0.9911,0.6086,0.7941,59954875
Inf-Net_DP_Morph,72,2,True,0.5,535.81,True,both,0.4625,0.5751,0.6049,0.2199,0.6552,1.0,0.8105,0.9962,0.6126,0.8053,59954876
Inf-Net_DP_Morph,72,3,True,0.5,535.81,True,both,0.4594,0.5673,0.5993,0.2298,0.6755,1.0,0.7969,0.9984,0.6055,0.8115,59954877
Inf-Net_DP_Morph,72,1,True,0.5,535.81,True,close,0.4409,0.5416,0.5886,0.2323,0.6588,1.0,0.7945,0.9943,0.5953,0.7969,59954872
Inf-Net_DP_Morph,72,2,True,0.5,535.81,True,close,0.4259,0.5332,0.5861,0.2363,0.645,1.0,0.7839,0.9919,0.5825,0.7988,59954873
Inf-Net_DP_Morph,72,3,True,0.5,535.81,True,close,0.4287,0.5333,0.5768,0.2465,0.6431,1.0,0.7845,1.0,0.5782,0.793,59954874
Inf-Net_DP_Morph,72,1,True,0.5,535.81,True,dilation,0.4334,0.5462,0.5911,0.2349,0.6426,1.0,0.7935,0.9985,0.5868,0.8138,59954878
Inf-Net_DP_Morph,72,2,True,0.5,535.81,True,dilation,0.4453,0.5634,0.5989,0.2178,0.6237,1.0,0.8188,0.9975,0.6053,0.8098,59954879
Inf-Net_DP_Morph,72,3,True,0.5,535.81,True,dilation,0.4288,0.5485,0.5915,0.2329,0.6176,1.0,0.7956,0.993,0.586,0.8036,59954880
Inf-Net_DP_Morph,72,1,True,0.5,535.81,True,erosion,0.4427,0.5538,0.5842,0.2457,0.684,1.0,0.771,0.9832,0.5848,0.7979,59954881
Inf-Net_DP_Morph,72,2,True,0.5,535.81,True,erosion,0.4443,0.5441,0.5809,0.2466,0.6894,1.0,0.773,0.9951,0.5871,0.7973,59954882
Inf-Net_DP_Morph,72,3,True,0.5,535.81,True,erosion,0.4676,0.5711,0.5931,0.2366,0.6971,1.0,0.7845,0.9954,0.6086,0.8136,59954883
Inf-Net_DP_Morph,72,1,True,0.5,535.81,True,open,0.4329,0.5446,0.5854,0.2367,0.6377,1.0,0.7959,0.9994,0.5879,0.8018,59954869
Inf-Net_DP_Morph,72,2,True,0.5,535.81,True,open,0.4133,0.5155,0.5637,0.2633,0.6634,1.0,0.7576,0.9995,0.5623,0.7938,59954870
Inf-Net_DP_Morph,72,3,True,0.5,535.81,True,open,0.4467,0.5476,0.5974,0.2218,0.6367,1.0,0.8112,0.9878,0.6063,0.7924,59954871
Inf-Net_DP_Morph,72,1,True,0.7,297.99,True,both,0.3865,0.4939,0.5532,0.2808,0.6419,1.0,0.7413,0.999,0.5338,0.7696,59954890
Inf-Net_DP_Morph,72,2,True,0.7,297.99,True,both,0.3944,0.5159,0.5518,0.2911,0.6591,1.0,0.7231,0.999,0.5277,0.7932,59954891
Inf-Net_DP_Morph,72,3,True,0.7,297.99,True,both,0.3878,0.4925,0.5459,0.2827,0.6386,1.0,0.7364,0.9964,0.5333,0.7766,59954892
Inf-Net_DP_Morph,72,1,True,0.7,297.99,True,close,0.4222,0.5413,0.5774,0.2561,0.668,1.0,0.7667,0.9997,0.5612,0.7805,59954887
Inf-Net_DP_Morph,72,2,True,0.7,297.99,True,close,0.3908,0.4938,0.5484,0.2877,0.6539,1.0,0.7262,0.9949,0.5329,0.7721,59954888
Inf-Net_DP_Morph,72,3,True,0.7,297.99,True,close,0.381,0.488,0.5405,0.3012,0.6647,1.0,0.7076,0.9952,0.5183,0.7812,59954889
Inf-Net_DP_Morph,72,1,True,0.7,297.99,True,dilation,0.3828,0.4878,0.5428,0.289,0.6347,1.0,0.728,0.9908,0.5309,0.768,59954893
Inf-Net_DP_Morph,72,2,True,0.7,297.99,True,dilation,0.3614,0.4739,0.5362,0.3005,0.6211,1.0,0.7093,0.9758,0.5066,0.7802,59954894
Inf-Net_DP_Morph,72,3,True,0.7,297.99,True,dilation,0.4131,0.5253,0.5746,0.2484,0.6307,1.0,0.7824,0.9996,0.5681,0.7914,59954895
Inf-Net_DP_Morph,72,1,True,0.7,297.99,True,erosion,0.4116,0.5249,0.5627,0.2767,0.6835,1.0,0.731,0.9728,0.5465,0.7967,59954896
Inf-Net_DP_Morph,72,2,True,0.7,297.99,True,erosion,0.4035,0.5172,0.5596,0.2753,0.6717,1.0,0.7407,0.9995,0.5422,0.7865,59954897
Inf-Net_DP_Morph,72,3,True,0.7,297.99,True,erosion,0.3823,0.4906,0.5421,0.2901,0.6511,1.0,0.725,0.9877,0.5262,0.7825,59954898
Inf-Net_DP_Morph,72,1,True,0.7,297.99,True,open,0.4098,0.523,0.5685,0.2654,0.6576,1.0,0.7542,0.9983,0.5535,0.8009,59954884
Inf-Net_DP_Morph,72,2,True,0.7,297.99,True,open,0.4337,0.5396,0.5838,0.2383,0.6526,1.0,0.7871,0.9901,0.5853,0.7862,59954885
Inf-Net_DP_Morph,72,3,True,0.7,297.99,True,open,0.4003,0.5252,0.5539,0.2903,0.6724,1.0,0.7206,0.9969,0.5293,0.7941,59954886
Inf-Net_Morph,24,1,False,,,True,both,0.5979,0.6692,0.7032,0.1349,0.6863,1.0,0.8842,0.9942,0.7606,0.8672,59954917
Inf-Net_Morph,24,2,False,,,True,both,0.6104,0.6825,0.7096,0.1328,0.7112,1.0,0.8759,0.9798,0.7588,0.8634,59954918
Inf-Net_Morph,24,3,False,,,True,both,0.6046,0.6755,0.7097,0.1259,0.6854,1.0,0.8914,0.9928,0.7702,0.878,59954919
Inf-Net_Morph,24,1,False,,,True,close,0.601,0.6775,0.7013,0.1346,0.7054,1.0,0.8821,0.9954,0.7618,0.8894,59954929
Inf-Net_Morph,24,2,False,,,True,close,0.5614,0.6595,0.6966,0.1341,0.6136,1.0,0.8994,0.9939,0.7333,0.8763,59954930
Inf-Net_Morph,24,3,False,,,True,close,0.5822,0.6628,0.7082,0.127,0.6341,1.0,0.8977,0.9978,0.7475,0.8591,59954931
Inf-Net_Morph,24,1,False,,,True,dilation,0.5705,0.6568,0.6844,0.1484,0.6653,1.0,0.8691,0.9903,0.7332,0.8634,59954941
Inf-Net_Morph,24,2,False,,,True,dilation,0.5666,0.6364,0.6493,0.1818,0.783,1.0,0.8142,0.9804,0.6954,0.8326,59954942
Inf-Net_Morph,24,3,False,,,True,dilation,0.5511,0.6441,0.6863,0.1401,0.6043,1.0,0.8952,0.9955,0.7247,0.8571,59954943
Inf-Net_Morph,24,1,False,,,True,erosion,0.5853,0.6614,0.6764,0.1502,0.7311,1.0,0.8575,0.9984,0.7401,0.8716,59954953
Inf-Net_Morph,24,2,False,,,True,erosion,0.5974,0.6586,0.6874,0.138,0.7377,1.0,0.8666,0.9903,0.7557,0.8637,59954954
Inf-Net_Morph,24,3,False,,,True,erosion,0.6067,0.677,0.7189,0.1201,0.6718,1.0,0.9049,0.9989,0.7797,0.8931,59954955
Inf-Net_Morph,24,1,False,,,True,open,0.5785,0.6589,0.6954,0.1391,0.659,1.0,0.882,0.9969,0.7454,0.8779,59954965
Inf-Net_Morph,24,2,False,,,True,open,0.6045,0.6735,0.6926,0.1382,0.7302,1.0,0.8532,0.9699,0.7505,0.8564,59954966
Inf-Net_Morph,24,3,False,,,True,open,0.5923,0.6613,0.6937,0.1359,0.7003,1.0,0.8766,0.9959,0.7535,0.8692,59954967
Inf-Net_Morph,48,1,False,,,True,both,0.5564,0.6417,0.6701,0.1574,0.675,1.0,0.8592,0.9981,0.7163,0.8595,59954920
Inf-Net_Morph,48,2,False,,,True,both,0.5459,0.6311,0.6707,0.1479,0.6346,1.0,0.8736,0.9872,0.7163,0.8582,59954921
Inf-Net_Morph,48,3,False,,,True,both,0.5422,0.6283,0.6561,0.1657,0.6563,1.0,0.8525,0.9968,0.7001,0.8308,59954922
Inf-Net_Morph,48,1,False,,,True,close,0.5479,0.6353,0.6699,0.1575,0.6646,1.0,0.8643,0.9918,0.7119,0.8586,59954932
Inf-Net_Morph,48,2,False,,,True,close,0.5441,0.6092,0.6599,0.16,0.6619,1.0,0.8528,0.9883,0.7009,0.8027,59954933
Inf-Net_Morph,48,3,False,,,True,close,0.5257,0.6125,0.6447,0.1834,0.6891,1.0,0.8217,0.961,0.6818,0.8305,59954934
Inf-Net_Morph,48,1,False,,,True,dilation,0.521,0.6215,0.6458,0.1793,0.666,1.0,0.83,0.9788,0.6725,0.8368,59954944
Inf-Net_Morph,48,2,False,,,True,dilation,0.5705,0.6467,0.6641,0.1611,0.7213,1.0,0.8426,0.9898,0.7241,0.8511,59954945
Inf-Net_Morph,48,3,False,,,True,dilation,0.5352,0.6118,0.651,0.1685,0.6633,1.0,0.8501,0.9986,0.7041,0.8329,59954946
Inf-Net_Morph,48,1,False,,,True,erosion,0.5448,0.6393,0.6701,0.159,0.6711,1.0,0.8616,0.9978,0.7058,0.8485,59954956
Inf-Net_Morph,48,2,False,,,True,erosion,0.5469,0.6231,0.6496,0.1717,0.7361,1.0,0.8337,0.9949,0.6936,0.8322,59954957
Inf-Net_Morph,48,3,False,,,True,erosion,0.57,0.6473,0.6528,0.1706,0.7816,1.0,0.8244,0.9865,0.7082,0.8547,59954958
Inf-Net_Morph,48,1,False,,,True,open,0.5557,0.6371,0.6744,0.1472,0.6589,1.0,0.868,0.9738,0.7252,0.857,59954968
Inf-Net_Morph,48,2,False,,,True,open,0.5497,0.6258,0.6465,0.177,0.7317,1.0,0.8244,0.994,0.6963,0.8374,59954969
Inf-Net_Morph,48,3,False,,,True,open,0.5084,0.6062,0.6421,0.186,0.6495,1.0,0.8392,0.9947,0.6757,0.8432,59954970
Inf-Net_Morph,64,1,False,,,True,both,0.4998,0.5794,0.6362,0.1773,0.6158,1.0,0.8401,0.9752,0.6836,0.8323,59954923
Inf-Net_Morph,64,2,False,,,True,both,0.5131,0.5851,0.6411,0.1621,0.6041,1.0,0.8608,0.9909,0.6977,0.8082,59954924
Inf-Net_Morph,64,3,False,,,True,both,0.5139,0.5852,0.6429,0.1655,0.6098,1.0,0.8526,0.9992,0.6936,0.8109,59954925
Inf-Net_Morph,64,1,False,,,True,close,0.5322,0.6068,0.6434,0.1701,0.6477,1.0,0.8462,0.9801,0.6986,0.8151,59954935
Inf-Net_Morph,64,2,False,,,True,close,0.5095,0.5865,0.6425,0.1713,0.6092,1.0,0.8493,0.9952,0.6767,0.7859,59954936
Inf-Net_Morph,64,3,False,,,True,close,0.5273,0.599,0.6473,0.168,0.6402,1.0,0.8501,0.9939,0.697,0.8237,59954937
Inf-Net_Morph,64,1,False,,,True,dilation,0.4932,0.5803,0.6389,0.1651,0.5581,1.0,0.8659,0.9845,0.6786,0.8069,59954947
Inf-Net_Morph,64,2,False,,,True,dilation,0.5046,0.6045,0.6501,0.1562,0.557,1.0,0.8671,0.9631,0.6792,0.8201,59954948
Inf-Net_Morph,64,3,False,,,True,dilation,0.5215,0.5941,0.6442,0.1641,0.6065,1.0,0.8622,0.9934,0.7005,0.8216,59954949
Inf-Net_Morph,64,1,False,,,True,erosion,0.5283,0.5957,0.6481,0.1638,0.6414,1.0,0.8505,0.9891,0.7058,0.8178,59954959
Inf-Net_Morph,64,2,False,,,True,erosion,0.5229,0.5919,0.6481,0.1629,0.6405,1.0,0.8554,0.9936,0.7039,0.824,59954960
Inf-Net_Morph,64,3,False,,,True,erosion,0.5253,0.5856,0.6418,0.1679,0.6489,1.0,0.84,0.9663,0.6984,0.8076,59954961
Inf-Net_Morph,64,1,False,,,True,open,0.5235,0.5934,0.6504,0.1579,0.6082,1.0,0.8658,0.9943,0.7035,0.8094,59954971
Inf-Net_Morph,64,2,False,,,True,open,0.503,0.5804,0.6394,0.17,0.5988,1.0,0.853,0.9823,0.6859,0.8229,59954972
Inf-Net_Morph,64,3,False,,,True,open,0.5204,0.5935,0.6445,0.1655,0.6155,1.0,0.856,0.9944,0.6969,0.8145,59954973
Inf-Net_Morph,72,1,False,,,True,both,0.5252,0.5953,0.6428,0.1736,0.6424,1.0,0.8446,0.9922,0.6918,0.8158,59954926
Inf-Net_Morph,72,2,False,,,True,both,0.5089,0.5826,0.6381,0.1727,0.6196,1.0,0.8459,0.996,0.6801,0.7999,59954927
Inf-Net_Morph,72,3,False,,,True,both,0.5169,0.5926,0.6432,0.1647,0.6085,1.0,0.857,0.9937,0.6986,0.8244,59954928
Inf-Net_Morph,72,1,False,,,True,close,0.5147,0.585,0.641,0.1696,0.6276,1.0,0.8486,0.9893,0.6921,0.817,59954938
Inf-Net_Morph,72,2,False,,,True,close,0.4925,0.5695,0.6324,0.1768,0.5857,1.0,0.847,0.9978,0.6772,0.8045,59954939
Inf-Net_Morph,72,3,False,,,True,close,0.5195,0.5969,0.645,0.1656,0.6119,1.0,0.8584,0.9826,0.6959,0.8215,59954940
Inf-Net_Morph,72,1,False,,,True,dilation,0.5006,0.5833,0.6368,0.1669,0.5751,1.0,0.8587,0.988,0.681,0.8077,59954950
Inf-Net_Morph,72,2,False,,,True,dilation,0.4989,0.5778,0.6388,0.1629,0.5731,1.0,0.8641,0.9815,0.6787,0.8014,59954951
Inf-Net_Morph,72,3,False,,,True,dilation,0.5089,0.585,0.6465,0.16,0.582,1.0,0.8632,0.9741,0.6823,0.7921,59954952
Inf-Net_Morph,72,1,False,,,True,erosion,0.5086,0.5825,0.6408,0.1622,0.6118,1.0,0.8583,0.9765,0.7007,0.8448,59954962
Inf-Net_Morph,72,2,False,,,True,erosion,0.524,0.5958,0.6405,0.1766,0.6539,1.0,0.8351,0.9888,0.6897,0.8218,59954963
Inf-Net_Morph,72,3,False,,,True,erosion,0.5344,0.604,0.6447,0.171,0.6654,1.0,0.8421,0.9923,0.702,0.8294,59954964
Inf-Net_Morph,72,1,False,,,True,open,0.5208,0.5946,0.6417,0.1735,0.6328,1.0,0.8411,0.9806,0.689,0.8052,59954974
Inf-Net_Morph,72,2,False,,,True,open,0.5203,0.5919,0.6434,0.1657,0.6186,1.0,0.8531,0.9919,0.6999,0.8229,59954975
Inf-Net_Morph,72,3,False,,,True,open,0.5127,0.5911,0.6378,0.1724,0.6145,1.0,0.8467,0.9802,0.6876,0.8181,59954976
