Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:26:28.030179 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7731, lateral-2: 1.5343, lateral-3: 1.5396, lateral-4: 1.5075, lateral-5: 1.5467, epsilon: inf]
2025-10-24 12:26:32.200379 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7690, lateral-2: 1.4108, lateral-3: 1.4232, lateral-4: 1.4440, lateral-5: 1.4845, epsilon: inf]
2025-10-24 12:26:37.460383 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7661, lateral-2: 1.3202, lateral-3: 1.3487, lateral-4: 1.3990, lateral-5: 1.4542, epsilon: inf]
2025-10-24 12:26:44.066363 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7639, lateral-2: 1.2539, lateral-3: 1.2836, lateral-4: 1.3521, lateral-5: 1.4259, epsilon: inf]
2025-10-24 12:26:51.370983 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7631, lateral-2: 1.1909, lateral-3: 1.2274, lateral-4: 1.3067, lateral-5: 1.3976, epsilon: inf]
2025-10-24 12:27:00.816268 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7626, lateral-2: 1.1356, lateral-3: 1.1839, lateral-4: 1.2727, lateral-5: 1.3721, epsilon: inf]
2025-10-24 12:27:12.134135 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7620, lateral-2: 1.0928, lateral-3: 1.1507, lateral-4: 1.2489, lateral-5: 1.3477, epsilon: inf]
2025-10-24 12:27:33.406088 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7610, lateral-2: 1.0613, lateral-3: 1.1248, lateral-4: 1.2302, lateral-5: 1.3211, epsilon: inf]
2025-10-24 12:27:48.686476 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7601, lateral-2: 1.0358, lateral-3: 1.1052, lateral-4: 1.2126, lateral-5: 1.2931, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_3/Inf-Net-10.pth
2025-10-24 12:28:07.285759 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7592, lateral-2: 1.0134, lateral-3: 1.0882, lateral-4: 1.1926, lateral-5: 1.2656, epsilon: inf]
2025-10-24 12:28:27.895381 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7583, lateral-2: 0.9949, lateral-3: 1.0724, lateral-4: 1.1717, lateral-5: 1.2395, epsilon: inf]
2025-10-24 12:28:49.863534 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7576, lateral-2: 0.9797, lateral-3: 1.0586, lateral-4: 1.1521, lateral-5: 1.2146, epsilon: inf]
2025-10-24 12:29:19.464437 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7569, lateral-2: 0.9656, lateral-3: 1.0449, lateral-4: 1.1332, lateral-5: 1.1897, epsilon: inf]
2025-10-24 12:29:47.003624 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7564, lateral-2: 0.9528, lateral-3: 1.0311, lateral-4: 1.1149, lateral-5: 1.1668, epsilon: inf]
2025-10-24 12:30:19.454427 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7558, lateral-2: 0.9415, lateral-3: 1.0181, lateral-4: 1.0971, lateral-5: 1.1488, epsilon: inf]
2025-10-24 12:30:53.164584 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7552, lateral-2: 0.9301, lateral-3: 1.0051, lateral-4: 1.0835, lateral-5: 1.1338, epsilon: inf]
2025-10-24 12:31:24.869730 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7547, lateral-2: 0.9190, lateral-3: 0.9928, lateral-4: 1.0724, lateral-5: 1.1194, epsilon: inf]
2025-10-24 12:32:07.501513 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7542, lateral-2: 0.9092, lateral-3: 0.9817, lateral-4: 1.0600, lateral-5: 1.1061, epsilon: inf]
Training completed at Fri Oct 24 12:32:42 CEST 2025
