Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:25:15.972860 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7608, lateral-2: 1.5810, lateral-3: 1.5733, lateral-4: 1.6280, lateral-5: 1.5359]
2025-10-23 17:25:17.644009 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7558, lateral-2: 1.4178, lateral-3: 1.4471, lateral-4: 1.5089, lateral-5: 1.5128]
2025-10-23 17:25:19.361106 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7534, lateral-2: 1.3554, lateral-3: 1.3987, lateral-4: 1.4939, lateral-5: 1.5079]
2025-10-23 17:25:21.065543 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7513, lateral-2: 1.3417, lateral-3: 1.3740, lateral-4: 1.4568, lateral-5: 1.5076]
2025-10-23 17:25:22.774923 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7485, lateral-2: 1.3093, lateral-3: 1.3538, lateral-4: 1.4404, lateral-5: 1.5012]
2025-10-23 17:25:24.458876 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7457, lateral-2: 1.2822, lateral-3: 1.3342, lateral-4: 1.4269, lateral-5: 1.4879]
2025-10-23 17:25:26.157878 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7431, lateral-2: 1.2552, lateral-3: 1.3105, lateral-4: 1.3980, lateral-5: 1.4624]
2025-10-23 17:25:27.870968 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7414, lateral-2: 1.2178, lateral-3: 1.2841, lateral-4: 1.3762, lateral-5: 1.4018]
2025-10-23 17:25:29.604418 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7399, lateral-2: 1.1703, lateral-3: 1.2328, lateral-4: 1.3241, lateral-5: 1.3665]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2/Inf-Net-10.pth
2025-10-23 17:25:31.627305 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7380, lateral-2: 1.1053, lateral-3: 1.1670, lateral-4: 1.2567, lateral-5: 1.3550]
2025-10-23 17:25:33.357601 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7362, lateral-2: 1.0314, lateral-3: 1.0949, lateral-4: 1.1940, lateral-5: 1.3676]
2025-10-23 17:25:35.071089 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7347, lateral-2: 0.9729, lateral-3: 1.0401, lateral-4: 1.1476, lateral-5: 1.4101]
2025-10-23 17:25:36.810359 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7334, lateral-2: 0.9044, lateral-3: 0.9708, lateral-4: 1.0703, lateral-5: 1.4402]
2025-10-23 17:25:38.539411 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7321, lateral-2: 0.8764, lateral-3: 0.9453, lateral-4: 1.0446, lateral-5: 1.4305]
2025-10-23 17:25:40.252695 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7309, lateral-2: 0.8465, lateral-3: 0.9195, lateral-4: 1.0243, lateral-5: 1.4438]
2025-10-23 17:25:41.964203 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7297, lateral-2: 0.8077, lateral-3: 0.8834, lateral-4: 0.9901, lateral-5: 1.4169]
2025-10-23 17:25:43.664750 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7286, lateral-2: 0.7907, lateral-3: 0.8678, lateral-4: 0.9774, lateral-5: 1.4141]
2025-10-23 17:25:45.374260 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7274, lateral-2: 0.7750, lateral-3: 0.8538, lateral-4: 0.9621, lateral-5: 1.3968]
2025-10-23 17:25:47.079275 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7264, lateral-2: 0.7486, lateral-3: 0.8305, lateral-4: 0.9433, lateral-5: 1.3787]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2/Inf-Net-20.pth
2025-10-23 17:25:49.049131 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7254, lateral-2: 0.7334, lateral-3: 0.8164, lateral-4: 0.9263, lateral-5: 1.3540]
2025-10-23 17:25:50.757379 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7243, lateral-2: 0.7176, lateral-3: 0.8031, lateral-4: 0.9158, lateral-5: 1.3358]
2025-10-23 17:25:52.485846 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7233, lateral-2: 0.7037, lateral-3: 0.7882, lateral-4: 0.8998, lateral-5: 1.3079]
2025-10-23 17:25:54.190343 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7224, lateral-2: 0.6818, lateral-3: 0.7714, lateral-4: 0.8872, lateral-5: 1.2836]
2025-10-23 17:25:55.892241 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7214, lateral-2: 0.6711, lateral-3: 0.7617, lateral-4: 0.8782, lateral-5: 1.2711]
2025-10-23 17:25:57.586345 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7206, lateral-2: 0.6596, lateral-3: 0.7513, lateral-4: 0.8672, lateral-5: 1.2529]
2025-10-23 17:25:59.320417 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7197, lateral-2: 0.6471, lateral-3: 0.7424, lateral-4: 0.8623, lateral-5: 1.2254]
2025-10-23 17:26:01.039055 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7188, lateral-2: 0.6387, lateral-3: 0.7334, lateral-4: 0.8556, lateral-5: 1.2124]
2025-10-23 17:26:02.774819 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7179, lateral-2: 0.6283, lateral-3: 0.7242, lateral-4: 0.8452, lateral-5: 1.1937]
2025-10-23 17:26:04.478139 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7171, lateral-2: 0.6228, lateral-3: 0.7194, lateral-4: 0.8406, lateral-5: 1.1715]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_Morph/batch_128/run_2/Inf-Net-30.pth
