Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_2/noise_multiplier_0.05
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:52:25.487994 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7705, lateral-2: 1.5590, lateral-3: 1.5233, lateral-4: 1.5488, lateral-5: 1.5146, epsilon: inf]
2025-10-24 13:52:30.459324 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7646, lateral-2: 1.4410, lateral-3: 1.4206, lateral-4: 1.4645, lateral-5: 1.4813, epsilon: inf]
2025-10-24 13:52:36.266697 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7597, lateral-2: 1.3445, lateral-3: 1.3579, lateral-4: 1.4056, lateral-5: 1.4598, epsilon: inf]
2025-10-24 13:52:44.116179 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7577, lateral-2: 1.2675, lateral-3: 1.2996, lateral-4: 1.3560, lateral-5: 1.4388, epsilon: inf]
2025-10-24 13:52:51.885017 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7567, lateral-2: 1.2085, lateral-3: 1.2475, lateral-4: 1.3090, lateral-5: 1.4155, epsilon: inf]
2025-10-24 13:53:03.438937 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7558, lateral-2: 1.1544, lateral-3: 1.2023, lateral-4: 1.2750, lateral-5: 1.3906, epsilon: inf]
2025-10-24 13:53:16.150513 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7547, lateral-2: 1.1072, lateral-3: 1.1637, lateral-4: 1.2532, lateral-5: 1.3633, epsilon: inf]
2025-10-24 13:53:46.690247 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7536, lateral-2: 1.0703, lateral-3: 1.1328, lateral-4: 1.2325, lateral-5: 1.3331, epsilon: inf]
2025-10-24 13:54:04.791239 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7526, lateral-2: 1.0446, lateral-3: 1.1115, lateral-4: 1.2128, lateral-5: 1.3037, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_2/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:54:26.743326 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7517, lateral-2: 1.0251, lateral-3: 1.0925, lateral-4: 1.1904, lateral-5: 1.2775, epsilon: inf]
2025-10-24 13:54:55.685878 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7510, lateral-2: 1.0076, lateral-3: 1.0739, lateral-4: 1.1667, lateral-5: 1.2534, epsilon: inf]
2025-10-24 13:55:25.215714 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7503, lateral-2: 0.9917, lateral-3: 1.0600, lateral-4: 1.1475, lateral-5: 1.2313, epsilon: inf]
2025-10-24 13:56:13.037093 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7497, lateral-2: 0.9788, lateral-3: 1.0453, lateral-4: 1.1297, lateral-5: 1.2104, epsilon: inf]
2025-10-24 13:56:49.051773 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7491, lateral-2: 0.9669, lateral-3: 1.0320, lateral-4: 1.1150, lateral-5: 1.1912, epsilon: inf]
2025-10-24 13:57:27.141250 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7486, lateral-2: 0.9559, lateral-3: 1.0208, lateral-4: 1.1036, lateral-5: 1.1740, epsilon: inf]
2025-10-24 13:58:13.651305 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7481, lateral-2: 0.9464, lateral-3: 1.0096, lateral-4: 1.0917, lateral-5: 1.1582, epsilon: inf]
2025-10-24 13:58:58.846580 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7475, lateral-2: 0.9366, lateral-3: 0.9987, lateral-4: 1.0794, lateral-5: 1.1435, epsilon: inf]
2025-10-24 13:59:52.803200 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7470, lateral-2: 0.9276, lateral-3: 0.9890, lateral-4: 1.0696, lateral-5: 1.1302, epsilon: inf]
Training completed at Fri Oct 24 14:00:20 CEST 2025
