Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_2/noise_multiplier_1.5
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:45:48.865857 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7823, lateral-2: 1.5716, lateral-3: 1.5935, lateral-4: 1.5572, lateral-5: 1.5156, epsilon: 5.1851]
2025-10-24 13:45:52.074545 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7820, lateral-2: 1.5533, lateral-3: 1.5742, lateral-4: 1.5465, lateral-5: 1.5139, epsilon: 7.8193]
2025-10-24 13:45:55.162792 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7814, lateral-2: 1.5378, lateral-3: 1.5567, lateral-4: 1.5357, lateral-5: 1.5115, epsilon: 10.0077]
2025-10-24 13:45:58.410955 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7807, lateral-2: 1.5242, lateral-3: 1.5412, lateral-4: 1.5258, lateral-5: 1.5091, epsilon: 11.9630]
2025-10-24 13:46:01.603907 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7800, lateral-2: 1.5133, lateral-3: 1.5285, lateral-4: 1.5172, lateral-5: 1.5064, epsilon: 13.7684]
2025-10-24 13:46:04.714491 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7792, lateral-2: 1.5039, lateral-3: 1.5177, lateral-4: 1.5094, lateral-5: 1.5037, epsilon: 15.4668]
2025-10-24 13:46:07.770551 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7785, lateral-2: 1.4954, lateral-3: 1.5080, lateral-4: 1.5021, lateral-5: 1.5011, epsilon: 17.0838]
2025-10-24 13:46:10.879376 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7778, lateral-2: 1.4878, lateral-3: 1.4992, lateral-4: 1.4955, lateral-5: 1.4985, epsilon: 18.6363]
2025-10-24 13:46:14.291940 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7771, lateral-2: 1.4813, lateral-3: 1.4913, lateral-4: 1.4896, lateral-5: 1.4960, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_2/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 13:46:17.623415 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7765, lateral-2: 1.4750, lateral-3: 1.4842, lateral-4: 1.4844, lateral-5: 1.4936, epsilon: 21.5910]
2025-10-24 13:46:20.877781 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7758, lateral-2: 1.4690, lateral-3: 1.4774, lateral-4: 1.4796, lateral-5: 1.4910, epsilon: 23.0082]
2025-10-24 13:46:23.967716 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7751, lateral-2: 1.4631, lateral-3: 1.4708, lateral-4: 1.4751, lateral-5: 1.4884, epsilon: 24.3925]
