Backbone loading: Res2Net50
Not loading weights from weights file
################################################## 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net/batch_64/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_morphology=False, morph_operation='close', morph_kernel_size=3, device='cuda')
 ##################################################
2025-10-23 17:18:51.202653 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7657, lateral-2: 1.5283, lateral-3: 1.5491, lateral-4: 1.5734, lateral-5: 1.5223]
2025-10-23 17:18:52.864014 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7611, lateral-2: 1.4291, lateral-3: 1.4650, lateral-4: 1.4968, lateral-5: 1.5033]
2025-10-23 17:18:54.534403 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7570, lateral-2: 1.3870, lateral-3: 1.4141, lateral-4: 1.4759, lateral-5: 1.4997]
2025-10-23 17:18:56.189901 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7529, lateral-2: 1.3638, lateral-3: 1.3885, lateral-4: 1.4449, lateral-5: 1.4953]
2025-10-23 17:18:57.834802 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7497, lateral-2: 1.3425, lateral-3: 1.3626, lateral-4: 1.4192, lateral-5: 1.4716]
2025-10-23 17:18:59.499413 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7473, lateral-2: 1.3103, lateral-3: 1.3333, lateral-4: 1.3913, lateral-5: 1.4207]
2025-10-23 17:19:01.157625 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7452, lateral-2: 1.2557, lateral-3: 1.2805, lateral-4: 1.3416, lateral-5: 1.3775]
2025-10-23 17:19:02.799430 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7429, lateral-2: 1.1905, lateral-3: 1.2165, lateral-4: 1.2771, lateral-5: 1.3646]
2025-10-23 17:19:04.462581 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7408, lateral-2: 1.1042, lateral-3: 1.1333, lateral-4: 1.2179, lateral-5: 1.3963]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_64/run_1/Inf-Net-10.pth
2025-10-23 17:19:06.408843 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7389, lateral-2: 1.0286, lateral-3: 1.0645, lateral-4: 1.1500, lateral-5: 1.4312]
2025-10-23 17:19:08.066669 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7373, lateral-2: 0.9910, lateral-3: 1.0756, lateral-4: 1.1621, lateral-5: 1.5429]
2025-10-23 17:19:09.707261 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7358, lateral-2: 0.9332, lateral-3: 0.9770, lateral-4: 1.0590, lateral-5: 1.5018]
2025-10-23 17:19:11.365838 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7344, lateral-2: 0.8836, lateral-3: 0.9372, lateral-4: 1.0248, lateral-5: 1.4960]
2025-10-23 17:19:13.021094 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7331, lateral-2: 0.8465, lateral-3: 0.9080, lateral-4: 0.9964, lateral-5: 1.4761]
2025-10-23 17:19:14.666008 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7317, lateral-2: 0.8224, lateral-3: 0.8831, lateral-4: 0.9830, lateral-5: 1.4780]
2025-10-23 17:19:16.289484 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7305, lateral-2: 0.8106, lateral-3: 0.8761, lateral-4: 0.9688, lateral-5: 1.4519]
2025-10-23 17:19:17.929008 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7293, lateral-2: 0.7944, lateral-3: 0.8629, lateral-4: 0.9613, lateral-5: 1.4381]
2025-10-23 17:19:19.578508 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7282, lateral-2: 0.7791, lateral-3: 0.8493, lateral-4: 0.9488, lateral-5: 1.4221]
2025-10-23 17:19:21.219941 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7270, lateral-2: 0.7631, lateral-3: 0.8351, lateral-4: 0.9361, lateral-5: 1.4030]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_64/run_1/Inf-Net-20.pth
2025-10-23 17:19:22.997550 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7258, lateral-2: 0.7456, lateral-3: 0.8203, lateral-4: 0.9270, lateral-5: 1.3882]
2025-10-23 17:19:24.631438 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7246, lateral-2: 0.7298, lateral-3: 0.8070, lateral-4: 0.9093, lateral-5: 1.3643]
2025-10-23 17:19:26.292581 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7235, lateral-2: 0.7102, lateral-3: 0.7891, lateral-4: 0.8970, lateral-5: 1.3463]
2025-10-23 17:19:27.923315 Epoch [023/100], Step [0001/0001], [lateral-edge: 0.7224, lateral-2: 0.7175, lateral-3: 0.7965, lateral-4: 0.9066, lateral-5: 1.3396]
2025-10-23 17:19:29.556432 Epoch [024/100], Step [0001/0001], [lateral-edge: 0.7213, lateral-2: 0.7199, lateral-3: 0.8001, lateral-4: 0.9110, lateral-5: 1.3206]
2025-10-23 17:19:31.200592 Epoch [025/100], Step [0001/0001], [lateral-edge: 0.7202, lateral-2: 0.7007, lateral-3: 0.7822, lateral-4: 0.8942, lateral-5: 1.2922]
2025-10-23 17:19:32.875088 Epoch [026/100], Step [0001/0001], [lateral-edge: 0.7190, lateral-2: 0.6889, lateral-3: 0.7734, lateral-4: 0.8852, lateral-5: 1.2738]
2025-10-23 17:19:34.508171 Epoch [027/100], Step [0001/0001], [lateral-edge: 0.7180, lateral-2: 0.6746, lateral-3: 0.7594, lateral-4: 0.8731, lateral-5: 1.2643]
2025-10-23 17:19:36.180965 Epoch [028/100], Step [0001/0001], [lateral-edge: 0.7169, lateral-2: 0.6661, lateral-3: 0.7538, lateral-4: 0.8649, lateral-5: 1.2219]
2025-10-23 17:19:37.813346 Epoch [029/100], Step [0001/0001], [lateral-edge: 0.7159, lateral-2: 0.6475, lateral-3: 0.7360, lateral-4: 0.8522, lateral-5: 1.2166]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_64/run_1/Inf-Net-30.pth
2025-10-23 17:19:39.674326 Epoch [030/100], Step [0001/0001], [lateral-edge: 0.7149, lateral-2: 0.6351, lateral-3: 0.7288, lateral-4: 0.8435, lateral-5: 1.1913]
2025-10-23 17:19:41.304644 Epoch [031/100], Step [0001/0001], [lateral-edge: 0.7139, lateral-2: 0.6232, lateral-3: 0.7163, lateral-4: 0.8349, lateral-5: 1.1799]
2025-10-23 17:19:42.984534 Epoch [032/100], Step [0001/0001], [lateral-edge: 0.7130, lateral-2: 0.6173, lateral-3: 0.7128, lateral-4: 0.8319, lateral-5: 1.1503]
2025-10-23 17:19:44.609476 Epoch [033/100], Step [0001/0001], [lateral-edge: 0.7121, lateral-2: 0.6065, lateral-3: 0.7020, lateral-4: 0.8230, lateral-5: 1.1341]
2025-10-23 17:19:46.281538 Epoch [034/100], Step [0001/0001], [lateral-edge: 0.7112, lateral-2: 0.6001, lateral-3: 0.6986, lateral-4: 0.8208, lateral-5: 1.1205]
2025-10-23 17:19:47.939466 Epoch [035/100], Step [0001/0001], [lateral-edge: 0.7104, lateral-2: 0.5935, lateral-3: 0.6914, lateral-4: 0.8161, lateral-5: 1.1143]
2025-10-23 17:19:49.600081 Epoch [036/100], Step [0001/0001], [lateral-edge: 0.7096, lateral-2: 0.5883, lateral-3: 0.6905, lateral-4: 0.8159, lateral-5: 1.0950]
2025-10-23 17:19:51.237773 Epoch [037/100], Step [0001/0001], [lateral-edge: 0.7089, lateral-2: 0.5826, lateral-3: 0.6847, lateral-4: 0.8125, lateral-5: 1.0814]
2025-10-23 17:19:52.905506 Epoch [038/100], Step [0001/0001], [lateral-edge: 0.7082, lateral-2: 0.5775, lateral-3: 0.6805, lateral-4: 0.8112, lateral-5: 1.0725]
2025-10-23 17:19:54.562698 Epoch [039/100], Step [0001/0001], [lateral-edge: 0.7076, lateral-2: 0.5756, lateral-3: 0.6816, lateral-4: 0.8097, lateral-5: 1.0531]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net/batch_64/run_1/Inf-Net-40.pth
2025-10-23 17:19:56.437373 Epoch [040/100], Step [0001/0001], [lateral-edge: 0.7070, lateral-2: 0.5699, lateral-3: 0.6735, lateral-4: 0.8069, lateral-5: 1.0570]
2025-10-23 17:19:58.106541 Epoch [041/100], Step [0001/0001], [lateral-edge: 0.7064, lateral-2: 0.5642, lateral-3: 0.6742, lateral-4: 0.8071, lateral-5: 1.0315]
2025-10-23 17:19:59.762728 Epoch [042/100], Step [0001/0001], [lateral-edge: 0.7059, lateral-2: 0.5599, lateral-3: 0.6684, lateral-4: 0.8044, lateral-5: 1.0308]
2025-10-23 17:20:01.432105 Epoch [043/100], Step [0001/0001], [lateral-edge: 0.7054, lateral-2: 0.5538, lateral-3: 0.6643, lateral-4: 0.8013, lateral-5: 1.0185]
2025-10-23 17:20:03.077985 Epoch [044/100], Step [0001/0001], [lateral-edge: 0.7049, lateral-2: 0.5524, lateral-3: 0.6661, lateral-4: 0.8038, lateral-5: 1.0147]
2025-10-23 17:20:04.711245 Epoch [045/100], Step [0001/0001], [lateral-edge: 0.7045, lateral-2: 0.5520, lateral-3: 0.6632, lateral-4: 0.8042, lateral-5: 1.0178]
2025-10-23 17:20:06.363313 Epoch [046/100], Step [0001/0001], [lateral-edge: 0.7040, lateral-2: 0.5520, lateral-3: 0.6672, lateral-4: 0.8076, lateral-5: 0.9974]
2025-10-23 17:20:08.051152 Epoch [047/100], Step [0001/0001], [lateral-edge: 0.7036, lateral-2: 0.5511, lateral-3: 0.6625, lateral-4: 0.8062, lateral-5: 1.0028]
2025-10-23 17:20:09.693531 Epoch [048/100], Step [0001/0001], [lateral-edge: 0.7032, lateral-2: 0.5604, lateral-3: 0.6740, lateral-4: 0.8129, lateral-5: 1.0014]
2025-10-23 17:20:11.347748 Epoch [049/100], Step [0001/0001], [lateral-edge: 0.7029, lateral-2: 0.5591, lateral-3: 0.6716, lateral-4: 0.8154, lateral-5: 1.0070]
