Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:29:00.227259 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7837, lateral-2: 1.6284, lateral-3: 1.5710, lateral-4: 1.5887, lateral-5: 1.5575, epsilon: 40.5547]
2025-10-24 12:29:03.189214 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7829, lateral-2: 1.5568, lateral-3: 1.5134, lateral-4: 1.5356, lateral-5: 1.5390, epsilon: 67.3649]
2025-10-24 12:29:06.207937 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7819, lateral-2: 1.5154, lateral-3: 1.4789, lateral-4: 1.5068, lateral-5: 1.5226, epsilon: 91.8295]
2025-10-24 12:29:09.362579 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7808, lateral-2: 1.4819, lateral-3: 1.4510, lateral-4: 1.4804, lateral-5: 1.5085, epsilon: 115.0760]
2025-10-24 12:29:12.602907 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7796, lateral-2: 1.4523, lateral-3: 1.4277, lateral-4: 1.4623, lateral-5: 1.4959, epsilon: 137.5426]
2025-10-24 12:29:15.737746 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7783, lateral-2: 1.4239, lateral-3: 1.4062, lateral-4: 1.4470, lateral-5: 1.4840, epsilon: 159.4546]
2025-10-24 12:29:18.935515 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7771, lateral-2: 1.3964, lateral-3: 1.3858, lateral-4: 1.4317, lateral-5: 1.4726, epsilon: 180.9461]
2025-10-24 12:29:22.243798 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7759, lateral-2: 1.3707, lateral-3: 1.3668, lateral-4: 1.4163, lateral-5: 1.4619, epsilon: 202.1045]
2025-10-24 12:29:25.477415 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7747, lateral-2: 1.3470, lateral-3: 1.3488, lateral-4: 1.4010, lateral-5: 1.4516, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_64/run_1/Inf-Net-10.pth
2025-10-24 12:29:29.077595 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7736, lateral-2: 1.3254, lateral-3: 1.3312, lateral-4: 1.3857, lateral-5: 1.4418, epsilon: 243.6485]
2025-10-24 12:29:32.277107 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7727, lateral-2: 1.3050, lateral-3: 1.3139, lateral-4: 1.3700, lateral-5: 1.4323, epsilon: 264.1117]
2025-10-24 12:29:35.877376 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7718, lateral-2: 1.2858, lateral-3: 1.2971, lateral-4: 1.3546, lateral-5: 1.4230, epsilon: 284.4063]
