Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_1/noise_multiplier_1.5
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:54:46.665341 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7886, lateral-2: 1.6599, lateral-3: 1.6533, lateral-4: 1.6552, lateral-5: 1.5840, epsilon: 5.1851]
2025-10-24 13:54:49.806743 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7883, lateral-2: 1.6345, lateral-3: 1.6275, lateral-4: 1.6264, lateral-5: 1.5793, epsilon: 7.8193]
2025-10-24 13:54:52.896347 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7881, lateral-2: 1.6154, lateral-3: 1.6072, lateral-4: 1.6052, lateral-5: 1.5748, epsilon: 10.0077]
2025-10-24 13:54:56.183769 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7879, lateral-2: 1.6016, lateral-3: 1.5923, lateral-4: 1.5899, lateral-5: 1.5708, epsilon: 11.9630]
2025-10-24 13:54:59.292096 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7876, lateral-2: 1.5908, lateral-3: 1.5810, lateral-4: 1.5783, lateral-5: 1.5667, epsilon: 13.7684]
2025-10-24 13:55:02.393009 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7873, lateral-2: 1.5816, lateral-3: 1.5718, lateral-4: 1.5696, lateral-5: 1.5628, epsilon: 15.4668]
2025-10-24 13:55:05.479270 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7870, lateral-2: 1.5732, lateral-3: 1.5642, lateral-4: 1.5619, lateral-5: 1.5591, epsilon: 17.0838]
2025-10-24 13:55:08.634272 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7867, lateral-2: 1.5656, lateral-3: 1.5575, lateral-4: 1.5547, lateral-5: 1.5554, epsilon: 18.6363]
2025-10-24 13:55:11.870020 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7862, lateral-2: 1.5585, lateral-3: 1.5515, lateral-4: 1.5482, lateral-5: 1.5521, epsilon: 20.1358]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_1/noise_multiplier_1.5/Inf-Net-10.pth
2025-10-24 13:55:15.135797 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7858, lateral-2: 1.5516, lateral-3: 1.5461, lateral-4: 1.5422, lateral-5: 1.5488, epsilon: 21.5910]
2025-10-24 13:55:18.288988 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7854, lateral-2: 1.5450, lateral-3: 1.5410, lateral-4: 1.5364, lateral-5: 1.5455, epsilon: 23.0082]
2025-10-24 13:55:21.392317 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7850, lateral-2: 1.5387, lateral-3: 1.5366, lateral-4: 1.5311, lateral-5: 1.5424, epsilon: 24.3925]
2025-10-24 13:55:24.689505 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7845, lateral-2: 1.5325, lateral-3: 1.5323, lateral-4: 1.5263, lateral-5: 1.5394, epsilon: 25.7479]
2025-10-24 13:55:27.871341 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7840, lateral-2: 1.5267, lateral-3: 1.5282, lateral-4: 1.5217, lateral-5: 1.5366, epsilon: 27.0777]
2025-10-24 13:55:30.969992 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7836, lateral-2: 1.5208, lateral-3: 1.5243, lateral-4: 1.5171, lateral-5: 1.5337, epsilon: 28.3845]
2025-10-24 13:55:34.152819 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7833, lateral-2: 1.5147, lateral-3: 1.5205, lateral-4: 1.5128, lateral-5: 1.5308, epsilon: 29.6705]
2025-10-24 13:55:37.286581 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7829, lateral-2: 1.5086, lateral-3: 1.5165, lateral-4: 1.5087, lateral-5: 1.5279, epsilon: 30.9378]
2025-10-24 13:55:40.555332 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7826, lateral-2: 1.5026, lateral-3: 1.5126, lateral-4: 1.5049, lateral-5: 1.5250, epsilon: 32.1878]
2025-10-24 13:55:43.723801 Epoch [019/100], Step [0001/0001], [lateral-edge: 0.7823, lateral-2: 1.4966, lateral-3: 1.5090, lateral-4: 1.5012, lateral-5: 1.5226, epsilon: 33.4220]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_64/run_1/noise_multiplier_1.5/Inf-Net-20.pth
2025-10-24 13:55:47.067376 Epoch [020/100], Step [0001/0001], [lateral-edge: 0.7820, lateral-2: 1.4909, lateral-3: 1.5057, lateral-4: 1.4977, lateral-5: 1.5203, epsilon: 34.6416]
2025-10-24 13:55:50.232806 Epoch [021/100], Step [0001/0001], [lateral-edge: 0.7816, lateral-2: 1.4851, lateral-3: 1.5026, lateral-4: 1.4945, lateral-5: 1.5181, epsilon: 35.8478]
2025-10-24 13:55:53.521420 Epoch [022/100], Step [0001/0001], [lateral-edge: 0.7812, lateral-2: 1.4792, lateral-3: 1.4992, lateral-4: 1.4915, lateral-5: 1.5156, epsilon: 37.0413]
