Model_Name,Dataset,DPSGD,Clipping_Strategy,Epsilon,Morphology,Operation,Kernel_Size,Learning_Rate,Batch_Size,Max_Grad_Norm,Noise_Multiplier,Stage,Training_Loss_mean,Training_Loss_std,Training_Loss_mean_std,Training_Time_Seconds_mean,Training_Time_Seconds_std,Training_Time_Seconds_mean_std,Mean_Dice_mean,Mean_Dice_std,Mean_Dice_mean_std,Max_Dice_mean,Max_Dice_std,Max_Dice_mean_std,Mean_Sensitivity_mean,Mean_Sensitivity_std,Mean_Sensitivity_mean_std,Max_Sensitivity_mean,Max_Sensitivity_std,Max_Sensitivity_mean_std,Mean_Specificity_mean,Mean_Specificity_std,Mean_Specificity_mean_std,Max_Specificity_mean,Max_Specificity_std,Max_Specificity_mean_std,S_measure_mean,S_measure_std,S_measure_mean_std,Mean_E_measure_mean,Mean_E_measure_std,Mean_E_measure_mean_std,Max_E_measure_mean,Max_E_measure_std,Max_E_measure_mean_std,MAE_mean,MAE_std,MAE_mean_std
UNet_GroupNorm,LungInfection,False,none,0.0,False,none,0,0.0001,24,,,training,1.1354107856750488,0.06343505310635256,1.1354 ± 0.0634,51.36324369907379,0.08521367843108386,51.3632 ± 0.0852,0.5505,0.014142135623730963,0.5505 ± 0.0141,0.70295,0.008555992052357225,0.7029 ± 0.0086,0.7018,0.02913279938488577,0.7018 ± 0.0291,1.0,0.0,1.0000 ± 0.0000,0.7919,0.006081118318204346,0.7919 ± 0.0061,0.9996499999999999,0.00035355339059331333,0.9996 ± 0.0004,0.6496,0.00933380951166242,0.6496 ± 0.0093,0.6692,0.011030865786510182,0.6692 ± 0.0110,0.8737999999999999,0.0035355339059327407,0.8738 ± 0.0035,0.22210000000000002,0.008768124086713186,0.2221 ± 0.0088
UNet_GroupNorm,LungInfection,False,none,0.0,False,none,0,0.0001,48,,,training,1.075969934463501,0.05100982499055291,1.0760 ± 0.0510,65.16985750198364,0.16716923688488156,65.1699 ± 0.1672,0.5198499999999999,0.02778929650063132,0.5198 ± 0.0278,0.6822999999999999,0.008061017305526618,0.6823 ± 0.0081,0.7009000000000001,0.007919595949289324,0.7009 ± 0.0079,1.0,0.0,1.0000 ± 0.0000,0.79395,0.015627059864222706,0.7940 ± 0.0156,0.9981,0.00028284271247458785,0.9981 ± 0.0003,0.6427499999999999,0.010818733752154164,0.6427 ± 0.0108,0.6414500000000001,0.0320319371877506,0.6415 ± 0.0320,0.85165,0.005727564927611032,0.8517 ± 0.0057,0.2278,0.014849242404917511,0.2278 ± 0.0148
