Model_Name,Dataset,DPSGD,Clipping_Strategy,Epsilon,Morphology,Operation,Kernel_Size,Learning_Rate,Batch_Size,Max_Grad_Norm,Noise_Multiplier,Stage,Training_Loss_mean,Training_Loss_std,Training_Loss_mean_std,Training_Time_Seconds_mean,Training_Time_Seconds_std,Training_Time_Seconds_mean_std,Mean_Dice_mean,Mean_Dice_std,Mean_Dice_mean_std,Max_Dice_mean,Max_Dice_std,Max_Dice_mean_std,Mean_Sensitivity_mean,Mean_Sensitivity_std,Mean_Sensitivity_mean_std,Max_Sensitivity_mean,Max_Sensitivity_std,Max_Sensitivity_mean_std,Mean_Specificity_mean,Mean_Specificity_std,Mean_Specificity_mean_std,Max_Specificity_mean,Max_Specificity_std,Max_Specificity_mean_std,S_measure_mean,S_measure_std,S_measure_mean_std,Mean_E_measure_mean,Mean_E_measure_std,Mean_E_measure_mean_std,Max_E_measure_mean,Max_E_measure_std,Max_E_measure_mean_std,MAE_mean,MAE_std,MAE_mean_std
Inf-Net_DP_Morph,LungInfection,True,automatic,8.0,True,open,9,0.0001,24,1.2,,training,6.568637371063232,0.08807342639624505,6.5686 ± 0.0881,323.8315955400467,60.32622114400202,323.8316 ± 60.3262,0.26995,0.0016263455967290765,0.2700 ± 0.0016,0.35635,0.0034648232278140937,0.3564 ± 0.0035,0.6331,0.0015556349186103902,0.6331 ± 0.0016,1.0,0.0,1.0000 ± 0.0000,0.53945,0.0006363961030679012,0.5394 ± 0.0006,0.98735,0.004030508652763269,0.9873 ± 0.0040,0.4306,0.0026870057685088595,0.4306 ± 0.0027,0.38385,7.071067811868621e-05,0.3839 ± 0.0001,0.69905,0.006717514421272168,0.6990 ± 0.0067,0.43215000000000003,0.0009192388155425283,0.4322 ± 0.0009
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,3,0.0001,24,1.2,,training,6.669267654418945,0.008773287986027702,6.6693 ± 0.0088,311.59906935691833,62.47351625312418,311.5991 ± 62.4735,0.26905,0.004171930009000642,0.2691 ± 0.0042,0.34504999999999997,0.005444722215136405,0.3450 ± 0.0054,0.6255999999999999,0.019374725804511387,0.6256 ± 0.0194,1.0,0.0,1.0000 ± 0.0000,0.5495,0.02545584412271573,0.5495 ± 0.0255,0.9942,0.0024041630560342323,0.9942 ± 0.0024,0.4275,0.00466690475583121,0.4275 ± 0.0047,0.394,0.014849242404917511,0.3940 ± 0.0148,0.6993499999999999,0.01223294731452726,0.6993 ± 0.0122,0.42935,0.014354267658086905,0.4294 ± 0.0144
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,5,0.0001,24,1.2,,training,6.567671298980713,0.17208929139264928,6.5677 ± 0.1721,315.87100756168365,61.37085742115283,315.8710 ± 61.3709,0.30215000000000003,0.023405234457274698,0.3022 ± 0.0234,0.39944999999999997,0.019021172413918114,0.3994 ± 0.0190,0.6599,0.02842569260369922,0.6599 ± 0.0284,1.0,0.0,1.0000 ± 0.0000,0.56615,0.005868986283848326,0.5662 ± 0.0059,0.97665,0.01958685783886741,0.9767 ± 0.0196,0.4542,0.0014142135623730963,0.4542 ± 0.0014,0.4168,0.011172287142747477,0.4168 ± 0.0112,0.72655,0.032314779900225195,0.7266 ± 0.0323,0.41035,0.0014849242404917434,0.4103 ± 0.0015
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,7,0.0001,24,1.2,,training,6.721012830734253,0.1593585829188427,6.7210 ± 0.1594,325.9330619573593,57.576784294035875,325.9331 ± 57.5768,0.25645,0.0009192388155424891,0.2565 ± 0.0009,0.33365,0.009687362902255733,0.3337 ± 0.0097,0.63225,0.0007778174593051951,0.6322 ± 0.0008,1.0,0.0,1.0000 ± 0.0000,0.51805,0.013788582233137728,0.5181 ± 0.0138,0.9863,0.007495331880577442,0.9863 ± 0.0075,0.4125,0.015414927829866726,0.4125 ± 0.0154,0.37365000000000004,0.010111626970967656,0.3737 ± 0.0101,0.6684,0.022768838354206837,0.6684 ± 0.0228,0.45365,0.015061374439273452,0.4536 ± 0.0151
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,both,9,0.0001,24,1.2,,training,6.642505645751953,0.17968314196994814,6.6425 ± 0.1797,386.87139606475836,6.068399006238339,386.8714 ± 6.0684,0.25870000000000004,0.00820243866176395,0.2587 ± 0.0082,0.35555000000000003,0.002757716446627506,0.3556 ± 0.0028,0.6222000000000001,0.020506096654409896,0.6222 ± 0.0205,1.0,0.0,1.0000 ± 0.0000,0.5275000000000001,0.006081118318204346,0.5275 ± 0.0061,0.9807,0.0029698484809834867,0.9807 ± 0.0030,0.43235,0.0060104076400856596,0.4324 ± 0.0060,0.3833,0.007495331880577403,0.3833 ± 0.0075,0.67955,0.010394469683442204,0.6795 ± 0.0104,0.43325,0.013222896808188436,0.4333 ± 0.0132
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,3,0.0001,24,1.2,,training,6.619743347167969,0.000546897506277989,6.6197 ± 0.0005,312.0293288230896,51.28693782211378,312.0293 ± 51.2869,0.25665,0.03570889244992064,0.2566 ± 0.0357,0.3451,0.05925554826343268,0.3451 ± 0.0593,0.6137999999999999,0.05769991334482228,0.6138 ± 0.0577,1.0,0.0,1.0000 ± 0.0000,0.5388999999999999,0.03210264786586925,0.5389 ± 0.0321,0.98645,0.007707463914933382,0.9865 ± 0.0077,0.42865,0.04023437584951456,0.4286 ± 0.0402,0.38355,0.02863782463805516,0.3836 ± 0.0286,0.68155,0.006576093065034952,0.6815 ± 0.0066,0.4317,0.02757716446627534,0.4317 ± 0.0276
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,5,0.0001,24,1.2,,training,6.5616960525512695,0.05237808028061058,6.5617 ± 0.0524,311.16033804416656,60.9939722095735,311.1603 ± 60.9940,0.28964999999999996,0.0009192388155425283,0.2896 ± 0.0009,0.37945,0.0007778174593051951,0.3795 ± 0.0008,0.667,0.009616652224137007,0.6670 ± 0.0096,1.0,0.0,1.0000 ± 0.0000,0.5648500000000001,0.0009192388155424891,0.5649 ± 0.0009,0.9965999999999999,0.0011313708498984299,0.9966 ± 0.0011,0.44794999999999996,0.003181980515339467,0.4479 ± 0.0032,0.40390000000000004,0.0015556349186104294,0.4039 ± 0.0016,0.6960500000000001,0.011950104602052673,0.6961 ± 0.0120,0.4181,0.0005656854249492149,0.4181 ± 0.0006
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,7,0.0001,24,1.2,,training,6.627893686294556,0.028834176352849,6.6279 ± 0.0288,314.51014518737793,60.44837299481767,314.5101 ± 60.4484,0.27244999999999997,0.026092240225783596,0.2724 ± 0.0261,0.349,0.03493107499061545,0.3490 ± 0.0349,0.6201,0.04737615433949865,0.6201 ± 0.0474,1.0,0.0,1.0000 ± 0.0000,0.5502499999999999,0.01619274528917196,0.5502 ± 0.0162,0.9739,0.021637467504308328,0.9739 ± 0.0216,0.43479999999999996,0.021637467504308366,0.4348 ± 0.0216,0.4012,0.0151320851173921,0.4012 ± 0.0151,0.6902,0.011596551211459359,0.6902 ± 0.0116,0.42355,0.009263098833543773,0.4235 ± 0.0093
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,close,9,0.0001,24,1.2,,training,6.639665842056274,0.14662214247363858,6.6397 ± 0.1466,322.6641459465027,58.86555517966159,322.6641 ± 58.8656,0.2653,0.03634528855298852,0.2653 ± 0.0363,0.35505,0.0464569155239562,0.3550 ± 0.0465,0.61405,0.03726452736853103,0.6140 ± 0.0373,1.0,0.0,1.0000 ± 0.0000,0.54235,0.04108290398693844,0.5423 ± 0.0411,0.97905,0.022698127676088187,0.9790 ± 0.0227,0.43255,0.027647875144394023,0.4325 ± 0.0276,0.38905,0.03316330803764908,0.3891 ± 0.0332,0.70015,0.02199102089490164,0.7002 ± 0.0220,0.4293,0.024748737341529145,0.4293 ± 0.0247
Inf-Net_DP_Morph,LungInfection,True,base,8.0,True,open,3,0.0001,24,1.2,,training,6.596938848495483,0.020672523432410765,6.5969 ± 0.0207,311.4581495523453,42.238454011782885,311.4581 ± 42.2385,0.2545,0.030829855659733472,0.2545 ± 0.0308,0.3414,0.03351686142824235,0.3414 ± 0.0335,0.6213,0.04681046891454947,0.6213 ± 0.0468,1.0,0.0,1.0000 ± 0.0000,0.5277499999999999,0.022698127676088108,0.5277 ± 0.0227,0.9789,0.018526197667087546,0.9789 ± 0.0185,0.4262,0.024041630560342597,0.4262 ± 0.0240,0.38015,0.02128391411371509,0.3801 ± 0.0213,0.6651,0.02757716446627538,0.6651 ± 0.0276,0.43995,0.017182694782833095,0.4400 ± 0.0172
