Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: dilation
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_1
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='dilation', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:51:48.530389 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7726, lateral-2: 1.6592, lateral-3: 1.5865, lateral-4: 1.6052, lateral-5: 1.5757, epsilon: inf]
2025-10-24 12:51:52.896451 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7674, lateral-2: 1.4802, lateral-3: 1.4665, lateral-4: 1.4721, lateral-5: 1.5164, epsilon: inf]
2025-10-24 12:51:58.315680 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7627, lateral-2: 1.3481, lateral-3: 1.3928, lateral-4: 1.3906, lateral-5: 1.4860, epsilon: inf]
2025-10-24 12:52:05.162682 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7609, lateral-2: 1.2585, lateral-3: 1.3216, lateral-4: 1.3358, lateral-5: 1.4433, epsilon: inf]
2025-10-24 12:52:12.755726 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7592, lateral-2: 1.1878, lateral-3: 1.2507, lateral-4: 1.2913, lateral-5: 1.3911, epsilon: inf]
2025-10-24 12:52:22.650194 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7574, lateral-2: 1.1343, lateral-3: 1.1859, lateral-4: 1.2552, lateral-5: 1.3406, epsilon: inf]
2025-10-24 12:52:34.227590 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7562, lateral-2: 1.0931, lateral-3: 1.1368, lateral-4: 1.2262, lateral-5: 1.2945, epsilon: inf]
2025-10-24 12:52:56.358655 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7552, lateral-2: 1.0593, lateral-3: 1.1072, lateral-4: 1.2064, lateral-5: 1.2552, epsilon: inf]
2025-10-24 12:53:12.288603 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7541, lateral-2: 1.0381, lateral-3: 1.0869, lateral-4: 1.1896, lateral-5: 1.2210, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/dilation/batch_64/run_1/Inf-Net-10.pth
2025-10-24 12:53:31.625053 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7533, lateral-2: 1.0161, lateral-3: 1.0708, lateral-4: 1.1669, lateral-5: 1.1886, epsilon: inf]
2025-10-24 12:53:52.219826 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7525, lateral-2: 0.9968, lateral-3: 1.0547, lateral-4: 1.1457, lateral-5: 1.1616, epsilon: inf]
2025-10-24 12:54:13.948063 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7517, lateral-2: 0.9820, lateral-3: 1.0369, lateral-4: 1.1316, lateral-5: 1.1404, epsilon: inf]
2025-10-24 12:54:43.222384 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7510, lateral-2: 0.9678, lateral-3: 1.0224, lateral-4: 1.1172, lateral-5: 1.1224, epsilon: inf]
2025-10-24 12:55:10.414470 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7505, lateral-2: 0.9532, lateral-3: 1.0101, lateral-4: 1.1007, lateral-5: 1.1063, epsilon: inf]
2025-10-24 12:55:42.499136 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7500, lateral-2: 0.9385, lateral-3: 0.9961, lateral-4: 1.0875, lateral-5: 1.0936, epsilon: inf]
2025-10-24 12:56:16.427800 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7495, lateral-2: 0.9252, lateral-3: 0.9815, lateral-4: 1.0756, lateral-5: 1.0834, epsilon: inf]
2025-10-24 12:56:47.966718 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7490, lateral-2: 0.9127, lateral-3: 0.9682, lateral-4: 1.0625, lateral-5: 1.0714, epsilon: inf]
2025-10-24 12:57:30.439762 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7485, lateral-2: 0.9006, lateral-3: 0.9563, lateral-4: 1.0503, lateral-5: 1.0597, epsilon: inf]
Training completed at Fri Oct 24 12:57:52 CEST 2025
