Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_3/noise_multiplier_0.05
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:53:20.261776 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7812, lateral-2: 1.5533, lateral-3: 1.5481, lateral-4: 1.5835, lateral-5: 1.5522, epsilon: inf]
2025-10-24 13:53:24.622153 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7719, lateral-2: 1.4300, lateral-3: 1.4476, lateral-4: 1.4743, lateral-5: 1.4939, epsilon: inf]
2025-10-24 13:53:30.019237 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7668, lateral-2: 1.3364, lateral-3: 1.3827, lateral-4: 1.4002, lateral-5: 1.4633, epsilon: inf]
2025-10-24 13:53:36.873946 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7651, lateral-2: 1.2588, lateral-3: 1.3161, lateral-4: 1.3426, lateral-5: 1.4347, epsilon: inf]
2025-10-24 13:53:44.575776 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7637, lateral-2: 1.1954, lateral-3: 1.2485, lateral-4: 1.2977, lateral-5: 1.4036, epsilon: inf]
2025-10-24 13:53:54.316860 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7621, lateral-2: 1.1447, lateral-3: 1.1958, lateral-4: 1.2631, lateral-5: 1.3713, epsilon: inf]
2025-10-24 13:54:05.608928 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7606, lateral-2: 1.1019, lateral-3: 1.1552, lateral-4: 1.2366, lateral-5: 1.3419, epsilon: inf]
2025-10-24 13:54:28.635023 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7593, lateral-2: 1.0677, lateral-3: 1.1249, lateral-4: 1.2164, lateral-5: 1.3167, epsilon: inf]
2025-10-24 13:54:44.706216 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7582, lateral-2: 1.0404, lateral-3: 1.1016, lateral-4: 1.1978, lateral-5: 1.2928, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_3/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:55:03.622581 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7571, lateral-2: 1.0199, lateral-3: 1.0825, lateral-4: 1.1789, lateral-5: 1.2687, epsilon: inf]
2025-10-24 13:55:24.773879 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7561, lateral-2: 1.0036, lateral-3: 1.0645, lateral-4: 1.1572, lateral-5: 1.2446, epsilon: inf]
2025-10-24 13:55:47.699765 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7552, lateral-2: 0.9896, lateral-3: 1.0479, lateral-4: 1.1374, lateral-5: 1.2208, epsilon: inf]
2025-10-24 13:56:19.310725 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7543, lateral-2: 0.9766, lateral-3: 1.0336, lateral-4: 1.1180, lateral-5: 1.1980, epsilon: inf]
2025-10-24 13:56:47.818713 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7536, lateral-2: 0.9637, lateral-3: 1.0197, lateral-4: 1.1001, lateral-5: 1.1774, epsilon: inf]
2025-10-24 13:57:20.489178 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7527, lateral-2: 0.9511, lateral-3: 1.0067, lateral-4: 1.0858, lateral-5: 1.1600, epsilon: inf]
2025-10-24 13:57:56.110933 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7519, lateral-2: 0.9389, lateral-3: 0.9955, lateral-4: 1.0747, lateral-5: 1.1451, epsilon: inf]
2025-10-24 13:58:29.432612 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7512, lateral-2: 0.9275, lateral-3: 0.9842, lateral-4: 1.0642, lateral-5: 1.1314, epsilon: inf]
2025-10-24 13:59:12.153957 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7505, lateral-2: 0.9167, lateral-3: 0.9727, lateral-4: 1.0523, lateral-5: 1.1178, epsilon: inf]
Training completed at Fri Oct 24 13:59:48 CEST 2025
