Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 64
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: open
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_64/run_1/noise_multiplier_0.05
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=64, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.05, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='open', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:46:32.140304 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7790, lateral-2: 1.6701, lateral-3: 1.6488, lateral-4: 1.5325, lateral-5: 1.5357, epsilon: inf]
2025-10-24 13:46:36.599544 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7744, lateral-2: 1.4586, lateral-3: 1.4698, lateral-4: 1.4407, lateral-5: 1.4978, epsilon: inf]
2025-10-24 13:46:42.098387 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7681, lateral-2: 1.3694, lateral-3: 1.3912, lateral-4: 1.3858, lateral-5: 1.4573, epsilon: inf]
2025-10-24 13:46:49.171957 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7641, lateral-2: 1.2898, lateral-3: 1.3157, lateral-4: 1.3392, lateral-5: 1.4057, epsilon: inf]
2025-10-24 13:46:56.728904 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7625, lateral-2: 1.2121, lateral-3: 1.2473, lateral-4: 1.3010, lateral-5: 1.3578, epsilon: inf]
2025-10-24 13:47:06.542602 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7613, lateral-2: 1.1492, lateral-3: 1.1963, lateral-4: 1.2687, lateral-5: 1.3225, epsilon: inf]
2025-10-24 13:47:17.911514 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7599, lateral-2: 1.1117, lateral-3: 1.1601, lateral-4: 1.2397, lateral-5: 1.2977, epsilon: inf]
2025-10-24 13:47:39.743980 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7584, lateral-2: 1.0871, lateral-3: 1.1316, lateral-4: 1.2120, lateral-5: 1.2722, epsilon: inf]
2025-10-24 13:47:55.373890 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7570, lateral-2: 1.0663, lateral-3: 1.1082, lateral-4: 1.1881, lateral-5: 1.2375, epsilon: inf]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/open/batch_64/run_1/noise_multiplier_0.05/Inf-Net-10.pth
2025-10-24 13:48:14.619830 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7560, lateral-2: 1.0486, lateral-3: 1.0885, lateral-4: 1.1665, lateral-5: 1.1994, epsilon: inf]
2025-10-24 13:48:35.612804 Epoch [011/100], Step [0001/0001], [lateral-edge: 0.7553, lateral-2: 1.0320, lateral-3: 1.0718, lateral-4: 1.1486, lateral-5: 1.1711, epsilon: inf]
2025-10-24 13:48:57.715490 Epoch [012/100], Step [0001/0001], [lateral-edge: 0.7546, lateral-2: 1.0157, lateral-3: 1.0558, lateral-4: 1.1305, lateral-5: 1.1523, epsilon: inf]
2025-10-24 13:49:27.597184 Epoch [013/100], Step [0001/0001], [lateral-edge: 0.7537, lateral-2: 1.0012, lateral-3: 1.0417, lateral-4: 1.1158, lateral-5: 1.1395, epsilon: inf]
2025-10-24 13:49:55.114049 Epoch [014/100], Step [0001/0001], [lateral-edge: 0.7527, lateral-2: 0.9872, lateral-3: 1.0287, lateral-4: 1.1027, lateral-5: 1.1251, epsilon: inf]
2025-10-24 13:50:27.319959 Epoch [015/100], Step [0001/0001], [lateral-edge: 0.7518, lateral-2: 0.9738, lateral-3: 1.0160, lateral-4: 1.0906, lateral-5: 1.1098, epsilon: inf]
2025-10-24 13:51:01.611990 Epoch [016/100], Step [0001/0001], [lateral-edge: 0.7510, lateral-2: 0.9602, lateral-3: 1.0023, lateral-4: 1.0788, lateral-5: 1.0986, epsilon: inf]
2025-10-24 13:51:32.832745 Epoch [017/100], Step [0001/0001], [lateral-edge: 0.7503, lateral-2: 0.9476, lateral-3: 0.9899, lateral-4: 1.0688, lateral-5: 1.0882, epsilon: inf]
2025-10-24 13:52:15.480485 Epoch [018/100], Step [0001/0001], [lateral-edge: 0.7498, lateral-2: 0.9360, lateral-3: 0.9790, lateral-4: 1.0587, lateral-5: 1.0738, epsilon: inf]
Training completed at Fri Oct 24 13:52:38 CEST 2025
