Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: Disabled
Save Path: ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_1/noise_multiplier_0.3
Run: 1
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=1, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=False, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:32:21.882074 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7796, lateral-2: 1.6783, lateral-3: 1.6005, lateral-4: 1.5525, lateral-5: 1.5219, epsilon: 40.5547]
2025-10-24 13:32:24.993470 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7792, lateral-2: 1.5535, lateral-3: 1.5235, lateral-4: 1.5036, lateral-5: 1.5086, epsilon: 67.3649]
2025-10-24 13:32:28.116610 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7785, lateral-2: 1.4980, lateral-3: 1.4834, lateral-4: 1.4815, lateral-5: 1.4985, epsilon: 91.8295]
2025-10-24 13:32:31.314837 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7776, lateral-2: 1.4606, lateral-3: 1.4551, lateral-4: 1.4626, lateral-5: 1.4892, epsilon: 115.0760]
2025-10-24 13:32:34.578940 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7764, lateral-2: 1.4248, lateral-3: 1.4308, lateral-4: 1.4454, lateral-5: 1.4798, epsilon: 137.5426]
2025-10-24 13:32:37.853304 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7750, lateral-2: 1.3901, lateral-3: 1.4090, lateral-4: 1.4297, lateral-5: 1.4703, epsilon: 159.4546]
2025-10-24 13:32:41.199373 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7735, lateral-2: 1.3590, lateral-3: 1.3888, lateral-4: 1.4151, lateral-5: 1.4606, epsilon: 180.9461]
2025-10-24 13:32:44.655366 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7719, lateral-2: 1.3332, lateral-3: 1.3698, lateral-4: 1.4008, lateral-5: 1.4506, epsilon: 202.1045]
2025-10-24 13:32:48.033252 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7703, lateral-2: 1.3116, lateral-3: 1.3517, lateral-4: 1.3866, lateral-5: 1.4409, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP/batch_128/run_1/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 13:32:51.790357 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7687, lateral-2: 1.2929, lateral-3: 1.3342, lateral-4: 1.3724, lateral-5: 1.4311, epsilon: 243.6485]
