Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 128
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: erosion
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_2/noise_multiplier_0.3
Run: 2
Namespace(epoch=100, lr=0.0001, batchsize=128, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=2, enable_privacy=True, noise_multiplier=0.3, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='erosion', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 13:40:30.910344 Epoch [001/100], Step [0001/0001], [lateral-edge: 0.7748, lateral-2: 1.5781, lateral-3: 1.5681, lateral-4: 1.4889, lateral-5: 1.5054, epsilon: 40.5547]
2025-10-24 13:40:34.064191 Epoch [002/100], Step [0001/0001], [lateral-edge: 0.7745, lateral-2: 1.5238, lateral-3: 1.5175, lateral-4: 1.4600, lateral-5: 1.4967, epsilon: 67.3649]
2025-10-24 13:40:37.166306 Epoch [003/100], Step [0001/0001], [lateral-edge: 0.7742, lateral-2: 1.4882, lateral-3: 1.4847, lateral-4: 1.4431, lateral-5: 1.4895, epsilon: 91.8295]
2025-10-24 13:40:40.365366 Epoch [004/100], Step [0001/0001], [lateral-edge: 0.7739, lateral-2: 1.4619, lateral-3: 1.4609, lateral-4: 1.4321, lateral-5: 1.4831, epsilon: 115.0760]
2025-10-24 13:40:43.603317 Epoch [005/100], Step [0001/0001], [lateral-edge: 0.7735, lateral-2: 1.4385, lateral-3: 1.4406, lateral-4: 1.4221, lateral-5: 1.4767, epsilon: 137.5426]
2025-10-24 13:40:46.864235 Epoch [006/100], Step [0001/0001], [lateral-edge: 0.7729, lateral-2: 1.4182, lateral-3: 1.4226, lateral-4: 1.4123, lateral-5: 1.4699, epsilon: 159.4546]
2025-10-24 13:40:50.150293 Epoch [007/100], Step [0001/0001], [lateral-edge: 0.7723, lateral-2: 1.4008, lateral-3: 1.4068, lateral-4: 1.4029, lateral-5: 1.4631, epsilon: 180.9461]
2025-10-24 13:40:53.550043 Epoch [008/100], Step [0001/0001], [lateral-edge: 0.7718, lateral-2: 1.3853, lateral-3: 1.3920, lateral-4: 1.3931, lateral-5: 1.4562, epsilon: 202.1045]
2025-10-24 13:40:56.953232 Epoch [009/100], Step [0001/0001], [lateral-edge: 0.7712, lateral-2: 1.3703, lateral-3: 1.3779, lateral-4: 1.3828, lateral-5: 1.4494, epsilon: 222.9906]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/erosion/batch_128/run_2/noise_multiplier_0.3/Inf-Net-10.pth
2025-10-24 13:41:00.664500 Epoch [010/100], Step [0001/0001], [lateral-edge: 0.7707, lateral-2: 1.3555, lateral-3: 1.3648, lateral-4: 1.3726, lateral-5: 1.4428, epsilon: 243.6485]
