Backbone loading: Res2Net50
Freezing unused branches for DP compatibility...
Trainable: 31,072,721 / 33,121,721 parameters
Not loading weights from weights file
Validator raised issues with model. Attempting auto-fix...
Original error: UnsupportedModuleError
Model successfully fixed for differential privacy
###################################################################### 
Start Training (Inf-Net-Res2Net50)
Backbone: Res2Net50
Batch Size: 32
Privacy: DP Enabled (ε budget, δ=1e-05)
Morphology: close
Save Path: ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_3
Run: 3
Namespace(epoch=100, lr=0.0001, batchsize=32, trainsize=352, clip=0.5, decay_rate=0.1, decay_epoch=50, is_thop=False, gpu_device=0, num_workers=8, net_channel=32, n_classes=1, backbone='Res2Net50', train_path='./Dataset/TrainingSet/LungInfection-Train/Doctor-label', is_semi=False, is_pseudo=False, train_save=None, run=3, enable_privacy=True, noise_multiplier=1.5, max_grad_norm=1.0, delta=1e-05, enable_morphology=True, morph_operation='close', morph_kernel_size=3, morph_privacy_budget=1.0, device='cuda')
 ######################################################################
2025-10-24 12:34:37.637844 Epoch [001/100], Step [0002/0002], [lateral-edge: 0.7835, lateral-2: 1.7380, lateral-3: 1.6753, lateral-4: 1.5771, lateral-5: 1.5580, epsilon: 4.5424]
2025-10-24 12:34:42.574422 Epoch [002/100], Step [0002/0002], [lateral-edge: 0.7828, lateral-2: 1.6764, lateral-3: 1.6272, lateral-4: 1.5471, lateral-5: 1.5517, epsilon: 6.4178]
2025-10-24 12:34:47.527088 Epoch [003/100], Step [0002/0002], [lateral-edge: 0.7832, lateral-2: 1.6484, lateral-3: 1.6127, lateral-4: 1.5387, lateral-5: 1.5600, epsilon: 7.9389]
2025-10-24 12:34:52.401905 Epoch [004/100], Step [0002/0002], [lateral-edge: 0.7832, lateral-2: 1.6524, lateral-3: 1.6117, lateral-4: 1.5425, lateral-5: 1.5680, epsilon: 9.2777]
2025-10-24 12:34:56.847428 Epoch [005/100], Step [0002/0002], [lateral-edge: 0.7836, lateral-2: 1.6047, lateral-3: 1.5771, lateral-4: 1.5166, lateral-5: 1.5461, epsilon: 10.5000]
2025-10-24 12:35:01.074107 Epoch [006/100], Step [0002/0002], [lateral-edge: 0.7823, lateral-2: 1.6191, lateral-3: 1.5903, lateral-4: 1.5277, lateral-5: 1.5649, epsilon: 11.6397]
2025-10-24 12:35:05.317052 Epoch [007/100], Step [0002/0002], [lateral-edge: 0.7820, lateral-2: 1.5931, lateral-3: 1.5646, lateral-4: 1.5025, lateral-5: 1.5500, epsilon: 12.7166]
2025-10-24 12:35:09.756613 Epoch [008/100], Step [0002/0002], [lateral-edge: 0.7814, lateral-2: 1.5854, lateral-3: 1.5604, lateral-4: 1.5053, lateral-5: 1.5509, epsilon: 13.7439]
2025-10-24 12:35:14.517868 Epoch [009/100], Step [0002/0002], [lateral-edge: 0.7826, lateral-2: 1.5861, lateral-3: 1.5636, lateral-4: 1.5012, lateral-5: 1.5460, epsilon: 14.7305]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_3/Inf-Net-10.pth
2025-10-24 12:35:18.715564 Epoch [010/100], Step [0002/0002], [lateral-edge: 0.7824, lateral-2: 1.5711, lateral-3: 1.5515, lateral-4: 1.4972, lateral-5: 1.5485, epsilon: 15.6831]
2025-10-24 12:35:23.143326 Epoch [011/100], Step [0002/0002], [lateral-edge: 0.7827, lateral-2: 1.5523, lateral-3: 1.5435, lateral-4: 1.4958, lateral-5: 1.5430, epsilon: 16.6066]
2025-10-24 12:35:27.673840 Epoch [012/100], Step [0002/0002], [lateral-edge: 0.7817, lateral-2: 1.5439, lateral-3: 1.5353, lateral-4: 1.4893, lateral-5: 1.5485, epsilon: 17.5049]
2025-10-24 12:35:32.017992 Epoch [013/100], Step [0002/0002], [lateral-edge: 0.7807, lateral-2: 1.5477, lateral-3: 1.5400, lateral-4: 1.4941, lateral-5: 1.5493, epsilon: 18.3811]
2025-10-24 12:35:36.453623 Epoch [014/100], Step [0002/0002], [lateral-edge: 0.7808, lateral-2: 1.5489, lateral-3: 1.5432, lateral-4: 1.4956, lateral-5: 1.5536, epsilon: 19.2376]
2025-10-24 12:35:40.661526 Epoch [015/100], Step [0002/0002], [lateral-edge: 0.7817, lateral-2: 1.4882, lateral-3: 1.4921, lateral-4: 1.4466, lateral-5: 1.5188, epsilon: 20.0766]
2025-10-24 12:35:44.866053 Epoch [016/100], Step [0002/0002], [lateral-edge: 0.7807, lateral-2: 1.5131, lateral-3: 1.5109, lateral-4: 1.4658, lateral-5: 1.5320, epsilon: 20.8997]
2025-10-24 12:35:49.448975 Epoch [017/100], Step [0002/0002], [lateral-edge: 0.7812, lateral-2: 1.4908, lateral-3: 1.4960, lateral-4: 1.4576, lateral-5: 1.5230, epsilon: 21.7085]
2025-10-24 12:35:53.633594 Epoch [018/100], Step [0002/0002], [lateral-edge: 0.7803, lateral-2: 1.4961, lateral-3: 1.4998, lateral-4: 1.4614, lateral-5: 1.5257, epsilon: 22.5041]
2025-10-24 12:35:57.616555 Epoch [019/100], Step [0002/0002], [lateral-edge: 0.7797, lateral-2: 1.5029, lateral-3: 1.5071, lateral-4: 1.4707, lateral-5: 1.5308, epsilon: 23.2876]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_3/Inf-Net-20.pth
2025-10-24 12:36:02.125825 Epoch [020/100], Step [0002/0002], [lateral-edge: 0.7797, lateral-2: 1.4857, lateral-3: 1.4938, lateral-4: 1.4541, lateral-5: 1.5171, epsilon: 24.0600]
2025-10-24 12:36:06.522578 Epoch [021/100], Step [0002/0002], [lateral-edge: 0.7790, lateral-2: 1.4542, lateral-3: 1.4657, lateral-4: 1.4325, lateral-5: 1.5084, epsilon: 24.8221]
2025-10-24 12:36:10.981996 Epoch [022/100], Step [0002/0002], [lateral-edge: 0.7784, lateral-2: 1.4926, lateral-3: 1.5020, lateral-4: 1.4725, lateral-5: 1.5363, epsilon: 25.5747]
2025-10-24 12:36:15.155359 Epoch [023/100], Step [0002/0002], [lateral-edge: 0.7781, lateral-2: 1.4728, lateral-3: 1.4827, lateral-4: 1.4529, lateral-5: 1.5138, epsilon: 26.3182]
2025-10-24 12:36:19.728126 Epoch [024/100], Step [0002/0002], [lateral-edge: 0.7776, lateral-2: 1.4572, lateral-3: 1.4737, lateral-4: 1.4434, lateral-5: 1.5092, epsilon: 27.0534]
2025-10-24 12:36:24.119643 Epoch [025/100], Step [0002/0002], [lateral-edge: 0.7783, lateral-2: 1.4643, lateral-3: 1.4790, lateral-4: 1.4475, lateral-5: 1.5123, epsilon: 27.7808]
2025-10-24 12:36:28.628288 Epoch [026/100], Step [0002/0002], [lateral-edge: 0.7766, lateral-2: 1.4737, lateral-3: 1.4885, lateral-4: 1.4647, lateral-5: 1.5226, epsilon: 28.5007]
2025-10-24 12:36:33.164138 Epoch [027/100], Step [0002/0002], [lateral-edge: 0.7762, lateral-2: 1.4454, lateral-3: 1.4636, lateral-4: 1.4346, lateral-5: 1.5038, epsilon: 29.2137]
2025-10-24 12:36:38.031347 Epoch [028/100], Step [0002/0002], [lateral-edge: 0.7759, lateral-2: 1.4497, lateral-3: 1.4757, lateral-4: 1.4500, lateral-5: 1.5091, epsilon: 29.9201]
2025-10-24 12:36:42.306190 Epoch [029/100], Step [0002/0002], [lateral-edge: 0.7748, lateral-2: 1.4412, lateral-3: 1.4650, lateral-4: 1.4424, lateral-5: 1.5080, epsilon: 30.6202]
[Saving Snapshot:] ./Snapshots/save_weights/Inf-Net_DP_Morph/close/batch_32/run_3/Inf-Net-30.pth
2025-10-24 12:36:46.894241 Epoch [030/100], Step [0002/0002], [lateral-edge: 0.7752, lateral-2: 1.4452, lateral-3: 1.4666, lateral-4: 1.4389, lateral-5: 1.5017, epsilon: 31.3145]
2025-10-24 12:36:51.413563 Epoch [031/100], Step [0002/0002], [lateral-edge: 0.7749, lateral-2: 1.4281, lateral-3: 1.4519, lateral-4: 1.4192, lateral-5: 1.4983, epsilon: 32.0031]
2025-10-24 12:36:55.620015 Epoch [032/100], Step [0002/0002], [lateral-edge: 0.7727, lateral-2: 1.4521, lateral-3: 1.4719, lateral-4: 1.4468, lateral-5: 1.5156, epsilon: 32.6863]
